"COUNT","Crash ID","Driver Role","Driver Causes","Driver Cse Cats"
1,201102178,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201102206,2,"525 - Opened door inadvertently",Driver / Passenger
1,201102211,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201102211,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201102238,2,"301 - Failed to give way at stop sign",Failed to Give Way
1,201102238,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201102249,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201102249,2,"363 - Attention diverted by driver dazzled by sun/lights",Attention Diverted By:
1,201102249,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201102434,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201102435,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201102442,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201102443,2,"321 - Did not stop at stop sign",Did not Stop
1,201102443,2,"355 - Attention diverted while trying to find intersection",Attention Diverted By:
1,201102444,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201102504,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201102504,1,"130 - Lost control",Lost Control
1,201102531,1,"322 - Did not stop at steady red light",Did not Stop
1,201102543,1,"181 - Following too closely",In Line of Traffic
1,201102574,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201102574,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201102637,1,"423 - Wrong pedal",Incorrect use of vehicle controls
1,201102641,1,"155 - Overtaking at no passing line",Overtaking
1,201102711,1,"330 - Inattentive",Inattentive: Failed to Notice
1,201102711,1,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201102759,1,"501 - Illness with no warning (eg heart attack)",Illness and Disability
1,201102766,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201102782,1,"101 - Alcohol suspected",Alcohol or Drugs
1,201102782,1,"111 - Too fast entering corner",Too fast for Conditions
1,201102782,1,"131 - Lost control when turning",Lost Control
1,201102850,1,"158 - Overtaking on left",Overtaking
1,201102875,2,"301 - Failed to give way at stop sign",Failed to Give Way
1,201102875,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201103087,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201103087,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201103093,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201103093,2,"314 - Failed to give way when waved through by other driver",Failed to Give Way
1,201103093,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201103094,1,"110 - Too fast for conditions",Too fast for Conditions
1,201103094,1,"135 - Lost control due to road conditions",Lost Control
1,201103130,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201103130,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201103143,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201103143,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201103148,1,"181 - Following too closely",In Line of Traffic
1,201103148,3,"181 - Following too closely",In Line of Traffic
1,201103148,6,"181 - Following too closely",In Line of Traffic
1,201103386,1,"371 - Didnt see/look behind when reversing/manoeuvering",Did Not See or Look for Another Party Until Too Late
1,201103386,3,"371 - Didnt see/look behind when reversing/manoeuvering",Did Not See or Look for Another Party Until Too Late
1,201103440,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201103459,2,"301 - Failed to give way at stop sign",Failed to Give Way
1,201103459,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201103471,2,"321 - Did not stop at stop sign",Did not Stop
1,201103471,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201103536,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201103536,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201103536,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201103842,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201103842,1,"113 - Too fast to give way at intersection",Too fast for Conditions
1,201103852,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201103852,2,"314 - Failed to give way when waved through by other driver",Failed to Give Way
1,201103852,2,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201103861,1,"306 - Failed to give way to ped on a xing",Failed to Give Way
1,201103861,1,"350 - Attention diverted",Attention Diverted By:
1,201103861,1,"376 - Didnt see/look when required to give way to ped",Did Not See or Look for Another Party Until Too Late
1,201103906,1,"181 - Following too closely",In Line of Traffic
1,201103906,1,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201104004,1,"306 - Failed to give way to ped on a xing",Failed to Give Way
1,201104056,2,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201104056,2,"302 - Failed to give way at give way sign",Failed to Give Way
1,201104061,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201104061,1,"110 - Too fast for conditions",Too fast for Conditions
1,201104061,1,"402 - New driver showed inexperience",Inexperience
1,201104073,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201104073,1,"112 - Too fast on straight",Too fast for Conditions
1,201104079,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201104079,1,"131 - Lost control when turning",Lost Control
1,201104102,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201104102,1,"111 - Too fast entering corner",Too fast for Conditions
1,201104102,1,"131 - Lost control when turning",Lost Control
1,201104144,2,"322 - Did not stop at steady red light",Did not Stop
1,201104155,2,"357 - Emotionally upset/road rage",Attention Diverted By:
1,201104155,2,"512 - Intentional collision",Intentional or Criminal
1,201104200,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201104200,1,"111 - Too fast entering corner",Too fast for Conditions
1,201104239,1,"181 - Following too closely",In Line of Traffic
1,201104272,1,"104 - Alcohol test result unknown",Alcohol or Drugs
1,201104272,1,"109 - Drugs proven",Alcohol or Drugs
1,201104272,1,"504 - Medical illness (not sudden eg flu)",Illness and Disability
1,201104276,1,"110 - Too fast for conditions",Too fast for Conditions
1,201104276,1,"197 - Suddenly swerved to avoid vehicle",Sudden Action
1,201104298,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201104298,1,"131 - Lost control when turning",Lost Control
1,201104335,1,"504 - Medical illness (not sudden eg flu)",Illness and Disability
1,201104336,1,"113 - Too fast to give way at intersection",Too fast for Conditions
1,201104336,1,"158 - Overtaking on left",Overtaking
1,201104336,1,"402 - New driver showed inexperience",Inexperience
1,201104336,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201104336,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201104376,1,"111 - Too fast entering corner",Too fast for Conditions
1,201104376,1,"131 - Lost control when turning",Lost Control
1,201104376,1,"151 - Overtaking line of traffic or queue",Overtaking
1,201104805,1,"301 - Failed to give way at stop sign",Failed to Give Way
1,201104825,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201104840,1,"500 - Illness and disability",Illness and Disability
1,201104850,1,"130 - Lost control",Lost Control
1,201105016,1,"308 - Failed to give way at driveway",Failed to Give Way
1,201105016,1,"378 - Didnt see/look when visibility limited by roadside features",Did Not See or Look for Another Party Until Too Late
1,201105020,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201105026,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201105096,1,"302 - Failed to give way at give way sign",Failed to Give Way
1,201105096,1,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201105107,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201105107,1,"111 - Too fast entering corner",Too fast for Conditions
1,201105107,1,"131 - Lost control when turning",Lost Control
1,201105151,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201105231,1,"101 - Alcohol suspected",Alcohol or Drugs
1,201105231,1,"137 - Lost control avoiding another vehicle",Lost Control
1,201105264,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201105264,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201105297,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201105297,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201105354,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201105354,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201105361,1,"104 - Alcohol test result unknown",Alcohol or Drugs
1,201105361,2,"102 - Alcohol test below limit",Alcohol or Drugs
1,201105361,2,"301 - Failed to give way at stop sign",Failed to Give Way
1,201105469,1,"111 - Too fast entering corner",Too fast for Conditions
1,201105469,1,"131 - Lost control when turning",Lost Control
1,201105469,1,"514 - Evading enforcement",Intentional or Criminal
1,201105471,1,"181 - Following too closely",In Line of Traffic
1,201105484,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
