"COUNT","Crash ID","Driver Sex","Driver Age","Driver Injury","Driver Role","Driver at Fault","Driver License Type","Driver Overseas Type","Driver Ethnicity"
1,201000088,Male, 45,Serious,2,">1 party, no dvr fault",Full,,European
1,201000089,Male, 26,Minor,1,"1 veh, dvr at fault",Never Licensed,,Other Pacific Islander
1,201000090,Male, 42,Fatal,1,"1 veh, dvr at fault",Disqualified,,NZ Maori
1,201000091,Female, 25,Minor,1,">1 party, dvr prime fault",Restricted,,European
1,201000091,Male, 34,Minor,2,">1 party, no dvr fault",Full,,NZ Maori
1,201000091,Male, 68,Not injured,3,">1 party, no dvr fault",Full,,NZ Maori
1,201000092,Male, 47,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000093,Female, 58,Minor,2,">1 party, no dvr fault",Full,,European
1,201000093,Male, 40,Not injured,4,">1 party, no dvr fault",Full,,European
1,201000093,Male, 41,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000093,Male, 71,Not injured,1,">1 party, dvr prime fault",Full,,European
1,201000094,Female, 55,Minor,2,">1 party, no dvr fault",Full,,NZ Maori
1,201000094,Male, 31,Fatal,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201000095,Male, 43,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000096,Male, 15,Minor,1,">1 party, dvr prime fault",Never Licensed,,NZ Maori
1,201000097,Male, 27,Not injured,1,">1 party, no dvr fault",Restricted,,NZ Maori
1,201000098,Male,,Not injured,1,"1 veh, dvr at fault",Full,,European
1,201000099,Female, 21,Not injured,1,">1 party, dvr prime fault",Overseas,,Unknown
1,201000099,Female, 28,Minor,2,">1 party, dvr part fault",Overseas,Visitor,Asian
1,201000100,Female, 59,Serious,2,">1 party, no dvr fault",Full,,European
1,201000100,Male, 28,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000100,Male, 38,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000101,Male, 16,Serious,1,"1 veh, dvr at fault",Unknown,,NZ Maori
1,201000102,Male, 27,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000103,Male, 46,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000104,Male, 46,Minor,2,">1 party, no dvr fault",Full,,European
1,201000104,Male, 53,Fatal,1,">1 party, dvr prime fault",Disqualified,,European
1,201000105,Female, 22,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000106,Female, 48,Not injured,6,">1 party, no dvr fault",Restricted,,NZ Maori
1,201000106,Female, 53,Not injured,4,">1 party, no dvr fault",Full,,European
1,201000106,Male, 26,Not injured,5,">1 party, no dvr fault",Learner,,European
1,201000106,Male, 40,Not injured,2,">1 party, no dvr fault",Full,,Asian
1,201000106,Male, 87,Fatal,1,">1 party, dvr prime fault",Expired,,European
1,201000106,Male,,Not injured,3,">1 party, no dvr fault",Full,,Unknown
1,201000107,Male, 18,Not injured,1,"1 veh, dvr at fault",Restricted,,NZ Maori
1,201000108,Female, 18,Fatal,1,">1 party, dvr prime fault",Full,,Unknown
1,201000108,Male, 49,Minor,2,">1 party, no dvr fault",Full,,NZ Maori
1,201000109,Male, 16,Serious,1,">1 party, no dvr fault",Restricted,,European
1,201000109,Male, 20,Minor,2,">1 party, dvr prime fault",Restricted,,NZ Maori
1,201000110,Female, 68,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000110,Male, 19,Minor,2,">1 party, no dvr fault",Unknown,,European
1,201000111,Female, 62,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000112,Male, 17,Serious,1,"1 veh, no dvr fault",Full,,European
1,201000113,Male, 29,Not injured,1,">1 party, dvr prime fault",Full,,Asian
1,201000114,Male, 59,Not injured,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000115,Male, 34,Fatal,1,"1 veh, dvr at fault",Disqualified,,European
1,201000116,Male, 57,Fatal,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000117,Male, 46,Fatal,1,"1 veh, dvr at fault",Expired,,European
1,201000118,Male, 24,Fatal,1,">1 party, dvr part fault",Learner,,European
1,201000118,Male, 24,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201000119,Female, 18,Fatal,1,">1 party, dvr prime fault",Restricted,,NZ Maori
1,201000119,Male, 50,Serious,2,">1 party, no dvr fault",Full,,European
1,201000120,Unknown,,Not injured,1,,Unknown,,Unknown
1,201000121,Male, 29,Fatal,1,"1 veh, dvr at fault",Learner,,NZ Maori
1,201000122,Male, 32,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000123,Female, 43,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201000123,Male, 29,Fatal,1,">1 party, dvr part fault",Forbidden,,NZ Maori
1,201000124,Male, 20,Minor,1,"1 veh, dvr at fault",Disqualified,,NZ Maori
1,201000125,Male, 19,Not injured,1,">1 party, no dvr fault",Learner,,Samoan
1,201000126,Male, 23,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000126,Male, 44,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000127,Female, 50,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000127,Male, 20,Fatal,1,">1 party, dvr prime fault",Restricted,,European
1,201000128,Male, 63,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000128,Male, 87,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000129,Female, 39,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000130,Male, 21,Fatal,1,"1 veh, dvr at fault",Unknown,,NZ Maori
1,201000131,Male, 78,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000132,Male, 38,Serious,1,">1 party, dvr prime fault",Full,,Other
1,201000132,Male, 60,Fatal,2,">1 party, dvr part fault",Full,,Asian
1,201000133,Female, 52,Fatal,1,">1 party, dvr prime fault",Restricted,,European
1,201000133,Male, 61,Minor,2,">1 party, no dvr fault",Full,,European
1,201000134,Female, 31,Serious,2,">1 party, dvr part fault",Full,,European
1,201000134,Male, 47,Fatal,1,">1 party, dvr prime fault",Unknown,,European
1,201000135,Male, 17,Serious,1,"1 veh, dvr at fault",Learner,,Samoan
1,201000136,Male,,Serious,1,"1 veh, dvr at fault",Disqualified,,NZ Maori
1,201000137,Male, 57,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000138,Female, 30,Serious,1,">1 party, dvr prime fault",Full,,European
1,201000138,Female, 47,Minor,2,">1 party, no dvr fault",Full,,European
1,201000139,Female, 15,Serious,1,">1 party, dvr prime fault",Learner,,European
1,201000139,Male, 57,Fatal,2,">1 party, no dvr fault",Full,,European
1,201000140,Male, 23,Fatal,1,">1 party, dvr prime fault",Learner,,NZ Maori
1,201000140,Male, 36,Minor,2,">1 party, no dvr fault",Full,,European
1,201000140,Male, 46,Not injured,3,,Full,,European
1,201000141,Female, 63,Minor,2,">1 party, no dvr fault",Full,,Unknown
1,201000141,Male, 26,Fatal,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201000142,Male, 45,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000143,Male, 37,Fatal,1,"1 veh, dvr at fault",Restricted,,European
1,201000144,Female, 20,Fatal,1,">1 party, dvr prime fault",Restricted,,NZ Maori
1,201000144,Male, 39,Minor,2,">1 party, no dvr fault",Full,,NZ Maori
1,201000145,Female, 23,Minor,1,">1 party, dvr prime fault",Full,,European
1,201000146,Male, 51,Not injured,3,">1 party, no dvr fault",Forbidden,,Tongan
1,201000148,Male, 18,Not injured,2,">1 party, dvr prime fault",Full,,Other
1,201000148,Male, 34,Fatal,1,">1 party, dvr part fault",Full,,European
1,201000149,Female, 82,Fatal,1,">1 party, no dvr fault",Never Licensed,,NZ Maori
1,201000149,Male, 49,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000149,Male, 61,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201000150,Female, 51,Minor,2,">1 party, dvr prime fault",Full,,European
1,201000150,Male, 43,Fatal,1,">1 party, no dvr fault",Full,,European
1,201000151,Female, 57,Minor,2,">1 party, no dvr fault",Full,,European
1,201000151,Male, 24,Not injured,3,">1 party, no dvr fault",Unknown,,European
1,201000151,Male, 64,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000152,Male, 33,Fatal,1,"1 veh, dvr at fault",Full,,Cook Islander
1,201000153,Male, 44,Minor,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000154,Male, 22,Minor,1,"1 veh, dvr at fault",Full,,European
1,201000155,Male, 17,Serious,1,">1 party, dvr prime fault",Never Licensed,,Tongan
1,201000156,Male, 37,Not injured,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000157,Male, 26,Not injured,2,">1 party, dvr prime fault",Restricted,,European
1,201000157,Male, 39,Fatal,1,">1 party, dvr part fault",Full,,European
1,201000158,Male, 52,Fatal,3,">1 party, no dvr fault",Unknown,,NZ Maori
1,201000158,Male, 64,Not injured,1,">1 party, dvr prime fault",Restricted,,NZ Maori
1,201000158,Male, 65,Minor,2,">1 party, no dvr fault",Forbidden,,Asian
1,201000159,Male, 13,Fatal,1,"1 veh, dvr at fault",Never Licensed,,NZ Maori
1,201000160,Female, 16,Minor,1,"1 veh, dvr at fault",Learner,,European
1,201000161,Male, 40,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000162,Male, 22,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000163,Male, 53,Minor,2,">1 party, no dvr fault",Full,,European
1,201000163,Male, 57,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000164,Male, 30,Fatal,1,">1 party, dvr part fault",Wrong Class,,European
1,201000164,Male, 51,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201000165,Unknown,,Not injured,1,">1 party, no dvr fault",Unknown,,Unknown
1,201000166,Male, 15,Minor,1,"1 veh, dvr at fault",Restricted,,European
1,201001001,Female, 81,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001005,Male, 75,Minor,1,">1 party, dvr prime fault",Full,,European
1,201001005,Unknown,,Not injured,2,">1 party, no dvr fault",Unknown,,Unknown
1,201001014,Female, 42,Serious,1,">1 party, no dvr fault",Learner,,European
1,201001014,Male, 44,Not injured,2,">1 party, dvr prime fault",Full,,Asian
1,201001023,Female, 33,Not injured,1,">1 party, no dvr fault",Full,,Samoan
1,201001025,Female, 50,Not injured,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201001026,Male, 51,Minor,1,"1 veh, dvr at fault",Overseas,Unknown,European
1,201001044,Male, 41,Serious,1,">1 party, dvr prime fault",Full,,European
1,201001044,Male, 61,Not injured,2,">1 party, no dvr fault",Full,,NZ Maori
1,201001048,Male, 18,Not injured,2,">1 party, no dvr fault",Full,,European
1,201001048,Male, 21,Serious,1,">1 party, dvr prime fault",Never Licensed,,NZ Maori
1,201001050,Male, 24,Serious,1,">1 party, dvr part fault",Full,,European
1,201001052,Female, 71,Serious,2,">1 party, no dvr fault",Full,,European
1,201001052,Male, 53,Minor,1,">1 party, dvr prime fault",Overseas,Visitor,European
1,201001054,Male, 16,Serious,2,">1 party, dvr part fault",Learner,,NZ Maori
1,201001054,Male, 35,Not injured,1,">1 party, dvr prime fault",Restricted,,NZ Maori
1,201001056,Male, 63,Not injured,2,">1 party, no dvr fault",Full,,European
1,201001056,Male, 78,Serious,1,">1 party, dvr prime fault",Full,,European
1,201001058,Male, 40,Serious,1,"1 veh, dvr at fault",Unknown,,European
1,201001063,Male, 15,Serious,1,"1 veh, dvr at fault",Restricted,,European
1,201001069,Male, 45,Serious,1,"1 veh, dvr at fault",Wrong Class,,European
1,201001077,Male, 22,Minor,2,">1 party, no dvr fault",Full,,European
1,201001077,Male, 30,Serious,1,">1 party, dvr prime fault",Full,,Other
1,201001079,Male, 41,Not injured,2,">1 party, no dvr fault",Full,,European
1,201001086,Male, 35,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201001086,Male, 44,Serious,1,">1 party, dvr part fault",Wrong Class,,European
1,201001093,Male, 22,Serious,1,">1 party, dvr prime fault",Learner,,NZ Maori
1,201001093,Male, 42,Not injured,2,">1 party, no dvr fault",Full,,European
1,201001101,Male, 52,Serious,1,"1 veh, dvr at fault",Full,,Asian
1,201001119,Female, 41,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201001119,Male, 32,Serious,1,">1 party, no dvr fault",Full,,European
1,201001125,Female, 23,Serious,1,"1 veh, dvr at fault",Restricted,,NZ Maori
1,201001140,Male, 22,Serious,1,"1 veh, dvr at fault",Learner,,Samoan
1,201001141,Male, 36,Not injured,1,">1 party, dvr prime fault",Restricted,,NZ Maori
1,201001141,Male, 42,Not injured,2,">1 party, no dvr fault",Full,,Other Pacific Islander
1,201001141,Unknown,,Serious,3,">1 party, no dvr fault",Unknown,,Unknown
1,201001146,Female, 44,Minor,2,">1 party, no dvr fault",Full,,European
1,201001146,Male, 16,Minor,1,">1 party, dvr prime fault",Restricted,,European
1,201001151,Female, 33,Serious,1,">1 party, dvr prime fault",Disqualified,,European
1,201001151,Male, 31,Minor,2,">1 party, no dvr fault",Overseas,Visitor,Asian
1,201001152,Male, 31,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001160,Male, 62,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001162,Female, 16,Not injured,2,">1 party, dvr prime fault",Restricted,,European
1,201001171,Female, 33,Not injured,1,">1 party, no dvr fault",Full,,NZ Maori
1,201001181,Female, 21,Minor,3,">1 party, no dvr fault",Learner,,Samoan
1,201001181,Female, 36,Serious,2,">1 party, dvr prime fault",Full,,European
1,201001181,Male, 30,Not injured,1,">1 party, no dvr fault",Full,,Cook Islander
1,201001190,Female, 18,Serious,1,"1 veh, dvr at fault",Restricted,,NZ Maori
1,201001202,Female, 44,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001207,Female, 53,Not injured,6,">1 party, no dvr fault",Full,,NZ Maori
1,201001207,Female, 55,Minor,2,">1 party, no dvr fault",Full,,European
1,201001207,Male, 36,Not injured,3,">1 party, no dvr fault",Full,,European
1,201001207,Male, 42,Not injured,5,">1 party, no dvr fault",Full,,European
1,201001207,Male, 52,Not injured,4,">1 party, no dvr fault",Full,,European
1,201001207,Male, 69,Minor,1,">1 party, dvr prime fault",Full,,European
1,201001225,Male, 21,Not injured,1,">1 party, dvr prime fault",Restricted,,NZ Maori
1,201001225,Male, 52,Serious,2,">1 party, no dvr fault",Full,,Asian
1,201001234,Female, 86,Serious,1,">1 party, dvr prime fault",Full,,Asian
1,201001252,Male, 16,Serious,1,"1 veh, dvr at fault",Restricted,,Niuean
1,201001253,Female, 51,Not injured,2,">1 party, no dvr fault",Full,,European
1,201001253,Male, 17,Serious,1,">1 party, dvr prime fault",Never Licensed,,NZ Maori
1,201001255,Female, 19,Serious,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201001255,Female, 62,Not injured,2,">1 party, no dvr fault",Full,,European
1,201001259,Male, 31,Minor,1,">1 party, dvr prime fault",Overseas,,Samoan
1,201001279,Male, 25,Serious,1,">1 party, dvr prime fault",Restricted,,European
1,201001279,Male, 36,Not injured,2,">1 party, no dvr fault",Full,,Samoan
1,201001289,Female, 38,Serious,1,">1 party, dvr prime fault",Restricted,,European
1,201001289,Male, 60,Serious,2,">1 party, no dvr fault",Full,,European
1,201001296,Male, 21,Serious,1,"1 veh, dvr at fault",Disqualified,,NZ Maori
1,201001298,Male, 38,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001305,Female, 33,Minor,2,">1 party, dvr prime fault",Full,,NZ Maori
1,201001305,Male, 37,Not injured,1,">1 party, dvr part fault",Full,,NZ Maori
1,201001314,Male, 18,Serious,1,">1 party, no dvr fault",Learner,,European
1,201001314,Male, 51,Not injured,2,">1 party, dvr prime fault",Learner,,NZ Maori
1,201001316,Female, 43,Serious,1,"1 veh, dvr at fault",Learner,,NZ Maori
1,201001323,Male, 43,Serious,1,"1 veh, dvr at fault",Disqualified,,European
1,201001328,Female, 43,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201001328,Male, 25,Serious,1,">1 party, no dvr fault",Full,,European
1,201001333,Female,,Serious,2,">1 party, no dvr fault",Unknown,,Asian
1,201001333,Male, 61,Not injured,3,">1 party, no dvr fault",Full,,NZ Maori
1,201001333,Male, 74,Minor,1,">1 party, dvr prime fault",Overseas,Visitor,European
1,201001335,Male, 28,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001336,Female, 65,Serious,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201001351,Female, 42,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001361,Female, 21,Not injured,1,">1 party, no dvr fault",Restricted,,NZ Maori
1,201001361,Male, 32,Not injured,2,">1 party, dvr prime fault",Full,,NZ Maori
1,201001362,Male, 59,Serious,1,">1 party, dvr prime fault",Full,,European
1,201001366,Male, 41,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001383,Female, 42,Serious,1,">1 party, no dvr fault",Full,,NZ Maori
