driverCause,driverCauseCategory
303 - Failed to give way when turning to non-turning traffic,Failed to Give Way
306 - Failed to give way to ped on a xing,Failed to Give Way
307 - Failed to give way when turning at signals to ped,Failed to Give Way
308 - Failed to give way at driveway,Failed to Give Way
311 - Failed to give way to ped on footpath or verge,Failed to Give Way
312 - Failed to give way entering roadway not from driveway or intersection,Failed to Give Way
313 - Failed to give way to emergency vehicle,Failed to Give Way
314 - Failed to give way when waved through by other driver,Failed to Give Way
321 - Did not stop at stop sign,Did not Stop
322 - Did not stop at steady red light,Did not Stop
323 - Did not stop at steady red arrow,Did not Stop
330 - Inattentive,Inattentive: Failed to Notice
331 - Failed to notice car slowing,Inattentive: Failed to Notice
332 - Failed to notice bend in road,Inattentive: Failed to Notice
333 - Failed to notice indication of vehicle in front,Inattentive: Failed to Notice
334 - Failed to notice traffic lights,Inattentive: Failed to Notice
335 - Inattentive: failed to notice intersection or its stop/give way control,Inattentive: Failed to Notice
340 - Failed to notice lane use arrows / markings,Inattentive: Failed to Notice
341 - Obstruction on roadway,Inattentive: Failed to Notice
350 - Attention diverted,Attention Diverted By:
351 - Attention diverted by passengers,Attention Diverted By:
352 - Attention diverted by scenery or persons outside vehicle,Attention Diverted By:
353 - Attention diverted by other traffic,Attention Diverted By:
354 - Attention diverted by animal or insect in vehicle,Attention Diverted By:
355 - Attention diverted while trying to find intersection,Attention Diverted By:
357 - Emotionally upset/road rage,Attention Diverted By:
358 - Attention diverted by cigarette etc,Attention Diverted By:
359 - Attention diverted by cell phone,Attention Diverted By:
363 - Attention diverted by driver dazzled by sun/lights,Attention Diverted By:
370 - Did not see or look for other party until too late,Did Not See or Look for Another Party Until Too Late
371 - Didnt see/look behind when reversing/manoeuvering,Did Not See or Look for Another Party Until Too Late
"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
373 - Didnt see/look behind when pulling out from parked position,Did Not See or Look for Another Party Until Too Late
374 - Didnt see/look behind when opening door or leaving vehicle,Did Not See or Look for Another Party Until Too Late
375 - Didnt see/look when required to give way to traffic from another direction,Did Not See or Look for Another Party Until Too Late
376 - Didnt see/look when required to give way to ped,Did Not See or Look for Another Party Until Too Late
377 - Didnt see/look when visibility obstructed by other vehicles,Did Not See or Look for Another Party Until Too Late
378 - Didnt see/look when visibility limited by roadside features,Did Not See or Look for Another Party Until Too Late
"380 - Misjudged speed, distance or position",Misjudged speed
"381 - Misjudged speed, etc of vehicle coming from behind or alongside",Misjudged speed
382 - Misjudged speed etc of vehicle coming from another dirn with right of way,Misjudged speed
383 - Misjudged pedestrians movement or intention,Misjudged speed
386 - Misjudged speed of own vehicle,Misjudged speed
387 - Misjudged intentions of other party,Misjudged speed
400 - Inexperience,Inexperience
402 - New driver showed inexperience,Inexperience
403 - Driving unfamiliar vehicle,Inexperience
404 - Overseas/migrant driver failed to adjust to NZ road rules and road conditions,Inexperience
405 - Inexperienced driver under instruction,Inexperience
407 - Driver over-reacted,Inexperience
"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
411 - Fatigue due to long trip,Fatigue (Drowsy
412 - Fatigue due to lack of sleep,Fatigue (Drowsy
414 - Fatigue due to working long hours before driving,Fatigue (Drowsy
420 - Incorrect use of vehicle controls,Incorrect use of vehicle controls
421 - Started in gear,Incorrect use of vehicle controls
423 - Wrong pedal,Incorrect use of vehicle controls
426 - Lights not switched on,Incorrect use of vehicle controls
427 - Foot slipped or got caught under pedal,Incorrect use of vehicle controls
430 - Showing off,Showing Off
431 - Showing off racing,Showing Off
433 - Showing off wheelspins/wheelies/doughnuts/drifting etc,Showing Off
434 - Intimidating driving,Showing Off
440 - Parked or stopped,Parked or Stopped
443 - Parked or stopped not as close a practicable to side of road,Parked or Stopped
500 - Illness and disability,Illness and Disability
501 - Illness with no warning (eg heart attack),Illness and Disability
503 - Defective vision,Illness and Disability
504 - Medical illness (not sudden eg flu),Illness and Disability
505 - Mental illness (eg depression),Illness and Disability
506 - Attempted suicide,Illness and Disability
507 - Impared ability due to old age,Illness and Disability
510 - Intentional or criminal,Intentional or Criminal
512 - Intentional collision,Intentional or Criminal
514 - Evading enforcement,Intentional or Criminal
517 - Stolen vehicle,Intentional or Criminal
523 - Riding in insecure position,Driver / Passenger
524 - Interferred with driver,Driver / Passenger
526 - Overloaded vehicle (with passengers),Driver / Passenger
532 - Casualty thrown from vehicle,Miscellaneous Person

