"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"ACCESS ROAD","20","S","CASHMERE ROAD","201021385","06/03/2010","Sat","2315","CAR1 NBD on ACCESS ROAD lost control turning right, CAR1 hit Tree on right hand bend ","CAR1 alcohol test below limit, too fast entering corner, lost control when turning","Dry","Dark","Fine","Unknown","N/A","0","1","2","1569572","5175885",
"ADAIR ROAD","3500","E","SH 6","201121595","26/03/2011","Sat","1920","CAR1 NBD on ADAIR ROAD lost control turning left","CAR1 alcohol test below limit, too fast entering corner, showing off wheelspins etc","Dry","Twilight","Fine","Unknown","N/A","0","2","3","1433864","5264083",
"ADAMS FLAT ROAD","900","W","CRICHTON ROAD","201023278","12/12/2010","Sun","1700","CAR1 EBD on ADAMS FLAT ROAD lost control; went off road to left, CAR1 hit Ditch","CAR1 too far left/right, lost control on unsealed road, driver over-reacted","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1358106","4887977",
"ADAMS ROAD","1000","S","OLD WEST COAST ROAD","2922893","25/08/2009","Tue","1130","CAR1 SBD on ADAMS ROAD lost control; went off road to left, CAR1 hit Bridge","CAR1 lost control, attention diverted","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1550891","5182453",
"ADDERLEY TERRACE","150","W","SNEYD ST","2922533","13/06/2009","Sat","2230","SUV1 WBD on ADDERLEY TERRACE lost control turning right, SUV1 hit Traffic Sign on right hand bend ","SUV1 alcohol test above limit or test refused, lost control when turning","Dry","Dark","Mist","Unknown","N/A","0","1","0","1571017","5197108",
"ADELAIDE ROAD","10","S","ALFRED ST","2812412","21/02/2008","Thu","0910","BUS1 SBD on ADELAIDE ROAD overtaking CYCLIST2 (Age 33)","BUS1 motorist crowded cyclist","Dry","Overcast","Fine","T Type Junction","Give Way Sign","0","1","0","1748986","5426209",
"ADELAIDE ROAD","25","S","ALFRED ST","201212701","07/09/2012","Fri","2009","MOTOR CYCLE1 SBD on ADELAIDE ROAD hit CAR2 parking/unparking","CAR2 didnt see/look behind when pulling out from parked position, new driver showed inexperience","Dry","Dark","Fine","Unknown","Nil","0","1","0","1748982","5426195",
"ADELAIDE ROAD","20","N","DRUMMOND ST","201112548","25/08/2011","Thu","0910","CAR2 NBD on ADELAIDE ROAD opened door into path of another party, CYCLIST1 hit Parked Vehicle","CAR2 inattentive, didnt see/look behind when opening door or leaving vehicle","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1748898","5425863",
"ADELAIDE ROAD","","I","DRUMMOND ST","2812666","17/05/2008","Sat","1400","CAR2 turning right hit by oncoming MOPED1 NBD on ADELAIDE ROAD ","MOPED1 overtaking on left  CAR2 failed to give way when waved through by other driver, didnt see/look when visibility obstructed by other vehicles","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","1","0","1748893","5425844",
"ADELAIDE ROAD","","I","HERALD ST","201211817","17/05/2012","Thu","1511","CAR1 SBD on ADELAIDE ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 stepped out from behind vehicle, crossing road, running heedless of traffic","Dry","Overcast","Fine","X Type Junction","Nil","0","1","0","1748579","5424122",
"ADELAIDE ROAD","15","S","JOHN ST","201111313","10/02/2011","Thu","1704","CYCLIST1 (Age 33)NBD on ADELAIDE ROAD lost control; went off road to left","CYCLIST1 lost control","Dry","Bright Sun","Fine","X Type Junction","Traffic Signal","0","1","0","1748828","5425593",
"ADELAIDE ROAD","","I","JOHN ST","201212126","24/06/2012","Sun","1739","SUV1 NBD on ADELAIDE ROAD hit CAR2 turning right onto ADELAIDE ROAD from the left","SUV1 failed to notice traffic lights  CAR2 failed to notice traffic lights","Dry","Twilight","Fine","X Type Junction","Traffic Signal","0","1","3","1748832","5425608",
"ADELAIDE ROAD","","I","KING ST","201212196","29/06/2012","Fri","0640","CAR2 turning right hit by oncoming CYCLIST1 (Age 31)NBD on ADELAIDE ROAD ","CYCLIST1 cyclist or m/cyclist wearing dark clothing  CAR2 too fast entering corner, failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction, defective vision","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","1","0","1748937","5426020",
"ADELAIDE ROAD","30","S","LAVAUD ST","2913680","21/12/2009","Mon","1746","BUS1 SBD on ADELAIDE ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing heedless of traffic, crossing road confused by traffic or stepped back","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1748557","5423756",
"ADELAIDE ROAD","100","N","LUXFORD ST","2811818","18/04/2008","Fri","0200","CAR1 SBD on ADELAIDE ROAD lost control; went off road to left, CAR1 hit Cliff Bank, Parked Vehicle","CAR1 alcohol test above limit or test refused, too fast on straight","Dry","Dark","Fine","Unknown","Nil","0","1","0","1748590","5424315",
"ADELAIDE ST","","I","AURORA ST","201012767","03/07/2010","Sat","1145","CAR1 WBD on ADELAIDE ST hit CAR2 U-turning from same direction of travel, CAR1 hit Parked Vehicle","CAR1 too fast on straight  CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Bright Sun","Fine","X Type Junction","Give Way Sign","0","1","1","1758010","5434139",
"AERODROME ROAD","20","S","CHEROKEE PLACE","201000164","21/12/2010","Tue","1548","TRUCK2 turning right hit by oncoming MOTOR CYCLE1 NBD on AERODROME ROAD ","MOTOR CYCLE1 alcohol not suspected, tested and -ve (MoT use only), too fast for conditions  TRUCK2 failed to give way when turning to non-turning traffic, misjudged speed etc of vehicle coming from another dirn with right of way  ENV: entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","Nil","1","0","0","1882525","5826313",
"AHIPARA ROAD","1250","W","KAITAIA-AWAROA ROAD","201000055","03/04/2010","Sat","2035","SUV1 EBD on AHIPARA ROAD lost control turning right, SUV1 hit Ditch on right hand bend ","SUV1 alcohol test above limit or test refused, lost control","Dry","Dark","Fine","Unknown","Nil","1","0","0","1615229","6107746",
"AHIPARA ROAD","550","E","SANDHILLS ROAD","2800126","19/09/2008","Fri","0020","CAR1 EBD on AHIPARA ROAD lost control; went off road to left, CAR1 hit Post Or Pole, Ditch","CAR1 alcohol test above limit or test refused, too fast on straight, lost control","Wet","Dark","Light Rain","Unknown","Nil","3","0","1","1614971","6107855",
"AICKIN ROAD","","I","MARTYN ROAD","201102911","04/05/2011","Wed","0835","MOPED1 SBD on MARTYN ROAD hit CAR2 crossing at right angle from right","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","X Type Junction","Give Way Sign","0","1","0","1854511","5878781",
"AIKMANS ROAD","200","W","PAPANUI ROAD","2823775","12/12/2008","Fri","1755","CAR2 turning right hit by oncoming MOTOR CYCLE1 WBD on AIKMANS ROAD ","MOTOR CYCLE1 too fast on straight, overtaking line of traffic or queue  ENV: entering or leaving shopping complex","Dry","Overcast","Fine","Driveway","Nil","0","1","0","1569219","5182197",
"AITCHISON ROAD","400","N","SH 83","201222633","20/09/2012","Thu","0945","MOTOR CYCLE1 NBD on AITCHISON ROAD hit obstruction, MOTOR CYCLE1 hit Stray Animal","ENV: farm animal attended but out of control","Dry","Overcast","Fine","Unknown","N/A","0","1","0","1431012","5024241",
"AITKEN ST","","I","MOLESWORTH ST","2812946","04/09/2008","Thu","1611","CAR1 NBD on MOLESWORTH ST turning right hit PEDESTRIAN crossing AITKEN ST from left","PEDESTRIAN2 crossing road not complying with traffic signal or school patrol","Wet","Overcast","Light Rain","X Type Junction","Traffic Signal","0","1","0","1748889","5428972",
"AKATARAWA ROAD","3000","N","AKATARAWA SUM","2913135","25/10/2009","Sun","1111","CYCLIST1 (Age 51)SBD on AKATARAWA ROAD lost control on curve and hit CAR2 head on, CYCLIST1 hit Fence","CYCLIST1 lost control due to road conditions, sudden action  ENV: road surface (potholed)","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1776928","5466760",
"AKATARAWA ROAD","20","S","BLACK BEECH ST","2912299","16/07/2009","Thu","1805","CAR1 SBD on AKATARAWA ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing heedless of traffic  ENV: street lighting inadequate","Dry","Dark","Fine","Unknown","Nil","0","1","0","1775961","5448504",
"AKATARAWA ROAD","","I","CREST ROAD","2813576","30/11/2008","Sun","1228","CAR2 turning right hit by oncoming CAR1 SBD on AKATARAWA ROAD ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction  ENV: visibility limited by crest or dip","Dry","Bright Sun","Fine","Y Type Junction","Nil","0","1","0","1777028","5450320",
"AKATARAWA ROAD","420","N","GILLESPIES ROAD","2810037","24/05/2008","Sat","1019","CAR1 NBD on AKATARAWA ROAD lost control turning left, CAR1 hit Fence","CAR1 too fast entering corner, lost control under heavy acceleration","Wet","Overcast","Light Rain","Unknown","Nil","1","0","0","1776482","5449450",
"AKATARAWA ROAD","4500","S","RATADALE ROAD","201011232","10/02/2010","Wed","1700","VAN1 SBD on AKATARAWA ROAD lost control turning left, VAN2 hit Cliff Bank","VAN1 cutting corner on bend","Dry","Bright Sun","Fine","Unknown","Nil","0","1","1","1777340","5466004",
"AKATORE ROAD","2200","S","MOTURATA ROAD","201221409","17/02/2012","Fri","0735","SUV1 SBD on AKATORE ROAD swinging wide hit CAR2 head on","SUV1 too far left/right  CAR2 too far left/right  ENV: road surface deep loose metal","Dry","Bright Sun","Fine","Unknown","N/A","0","1","3","1382187","4891966",
"AKORANGA DRIVE","100","S","NORTHCOTE ROAD","201202120","20/03/2012","Tue","1713","CAR1 EBD on AKORANGA DRIVE hit CYCLIST2 (Age 10)crossing at right angle from right","CYCLIST2 failed to give way entering roadway not from driveway or intersection, failed to give way to traffic approaching or crossing from the left  ENV: entering or leaving other non-commercial","Dry","Overcast","Fine","Driveway","Nil","0","1","0","1756036","5926714",
"AKURA ROAD","","A","RLY XING","201111990","03/07/2011","Sun","2330","CAR1 SBD on AKURA ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 lost control when turning","Dry","Dark","Fine","Unknown","Nil","0","1","0","1823655","5464564",
"ALABASTER DRIVE","","I","NAVIGATOR PLACE","201105386","24/11/2011","Thu","0715","SUV1 EBD on ALABASTER DRIVE hit parked veh, SUV1 hit Parked Vehicle","SUV1 alcohol test above limit or test refused, too far left/right","Dry","Overcast","Fine","T Type Junction","Nil","0","1","1","1763656","5905675",
"ALBANY HEIGHTS ROAD","480","E","DAIRY FLAT HIGHWAY","201105346","16/08/2011","Tue","1416","CAR1 EBD on ALBANY HEIGHTS ROAD lost control on curve and hit CAR2 head on","CAR1 alcohol suspected, lost control when turning","Dry","Overcast","Fine","Unknown","Nil","0","2","0","1749810","5935891",
"ALBANY HIGHWAY","","I","ROSEDALE ROAD","201202974","30/05/2012","Wed","2022","CAR1 WBD on ROSEDALE ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","Roundabout","Give Way Sign","0","1","0","1751143","5932298",
"ALBANY HIGHWAY","200","N","UNSWORTH DRIVE","2904354","28/08/2009","Fri","2021","CAR1 WBD on ALBANY HIGHWAY hit rear end of MOPED2 stop/slow for queue","CAR1 failed to notice car slowing","Dry","Dark","Fine","Unknown","Nil","0","1","0","1752972","5930057",
"ALBANY HIGHWAY","","I","UNSWORTH DRIVE","201101760","18/02/2011","Fri","1510","CYCLIST1 (Age 19)SBD on ALBANY HIGHWAY hit CAR2 turning right onto ALBANY HIGHWAY from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","1","0","1753169","5930037",
"ALBANY HIGHWAY","","I","UNSWORTH DRIVE","201103334","29/04/2011","Fri","0733","MOTOR CYCLE1 EBD on ALBANY HIGHWAY hit CAR2 turning right onto ALBANY HIGHWAY from the left","CAR2 failed to give way at give way sign, emotionally upset/road rage","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","1","0","1753169","5930037",
"ALBANY HIGHWAY","","I","UPPER HARBOUR DRIVE","201105088","21/10/2011","Fri","1825","CAR1 WBD on ALBANY HIGHWAY lost control turning right, CAR1 hit Fence, Tree on right hand bend ","CAR1 alcohol test above limit or test refused, lost control when turning","Dry","Bright Sun","Fine","T Type Junction","Traffic Signal","0","1","0","1752317","5930356",
"ALBANY ST","20","E","SH 1S","201222980","21/12/2012","Fri","1459","CAR1 WBD on ALBANY ST changing lanes to left hit MOTOR CYCLE2 ","CAR1 cut in after overtaking  MOTOR CYCLE2 lost control under heavy braking, casualty thrown from vehicle","Wet","Overcast","Heavy Rain","Unknown","N/A","0","1","0","1406833","4917726",
"ALBERT ST","70","N","CHURCH ST","201102696","11/04/2011","Mon","1335","MOTOR CYCLE1 NBD on ALBERT ST lost control turning left","MOTOR CYCLE1 too fast entering corner, lost control when turning, attempted suicide","Dry","Overcast","Fine","Unknown","Nil","0","1","0","1696831","6084199",
"ALBERT ST","","I","CHURCH ST","201112444","24/07/2011","Sun","1120","SUV1 SBD on ALBERT ST hit CYCLIST2 (Age 50)crossing at right angle from right","SUV1 failed to give way at give way sign, attention diverted by other traffic  ENV: strong wind, fog or mist","Wet","Overcast","Mist","Roundabout","Give Way Sign","0","1","0","1822930","5529944",
"ALBERT ST","","I","CHURCHILL AVENUE","2811306","29/02/2008","Fri","2110","CAR1 NBD on ALBERT ST lost control turning right, CAR1 hit Fence, House Or Bldg, Kerb, Obj thrown/dropped on right hand bend ","CAR1 alcohol suspected, too fast entering corner, attention diverted by scenery or persons outside vehicle","Dry","Dark","Fine","X Type Junction","Stop Sign","0","1","0","1823238","5529373",
"ALBERT ST","15","W","GREY ST","201105618","14/12/2011","Wed","0740","CAR1 WBD on ALBERT ST hit PEDESTRIAN","CAR1 emotionally upset/road rage, misjudged speed of own vehicle, intentional or criminal","Dry","Overcast","Fine","Unknown","N/A","0","1","0","1802042","5814150",
"ALBERT ST","20","S","RAPLEY ST","2820083","20/12/2008","Sat","0050","CAR1 SBD on ALBERT ST hit PEDESTRIAN","PEDESTRIAN2 Intoxicated non-driver, pedestrian playing on road or unnecessarily on road, pedestrian wearing dark clothing","Wet","Dark","Heavy Rain","Unknown","N/A","1","0","0","1500821","5137941",
"ALBERT ST","","I","WOODS ROAD","2803613","20/06/2008","Fri","2126","CAR2 turning right hit by oncoming MOPED1 WBD on ALBERT ST ","CAR2 failed to give way when turning to non-turning traffic  ENV: road slippery (rain)","Wet","Dark","Light Rain","T Type Junction","Give Way Sign","0","1","0","1719560","6045370",
"ALBERT ST","","I","WYNDHAM ST","201204134","30/04/2012","Mon","1230","parked VAN1 EBD on WYNDHAM ST ran away","VAN1 parking brake not fully applied","Dry","Bright Sun","Fine","X Type Junction","Traffic Signal","0","1","1","1757292","5920655",
"ALCONBURY DRIVE","10","N","THOMAS ROAD","2904248","28/08/2009","Fri","1711","CYCLIST1 (Age 6)NBD on ALCONBURY DRIVE lost control while overtaking","CYCLIST1 cut in after overtaking, misjudged speed, etc of vehicle coming from behind or alongside, unsupervised cyclist","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","1","0","1800136","5821673",
"ALDWINS ROAD","","I","HARROW ST","2922887","23/09/2009","Wed","1350","CAR2 turning right hit by oncoming CAR1 NBD on ALDWINS ROAD ","CAR1 did not stop at steady red light, failed to notice traffic lights","Dry","Overcast","Fine","T Type Junction","Traffic Signal","0","1","1","1573266","5179428",
"ALDWINS ROAD","","I","MARLBOROUGH ST","2921544","07/03/2009","Sat","1528","CAR1 NBD on ALDWINS ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 stepped out from behind vehicle, crossing road, running heedless of traffic","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","1","0","1573469","5179747",
"ALDWORTH ROAD","2000","W","SH 1N","201012605","20/07/2010","Tue","1100","CAR1 SBD on ALDWORTH ROAD lost control turning right, CAR1 hit Bridge on right hand bend ","CAR1 too fast entering corner, did not stop for police or flagperson","Wet","Overcast","Light Rain","Unknown","Nil","0","1","0","1815578","5574924",
"ALEC CRAIG WAY","200","W","GULF HARBOUR DRIVE","2906024","07/11/2009","Sat","1624","MOTOR CYCLE1 WBD on ALEC CRAIG WAY lost control but did not leave the road, MOTOR CYCLE1 hit Parked Vehicle","MOTOR CYCLE1 lost control due to vehicle fault, body or chassis","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1761129","5946966",
"ALEXANDER AVENUE","50","W","AMOKURA PLACE","201204361","03/09/2012","Mon","1425","CAR1 WBD on ALEXANDER AVENUE hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing heedless of traffic  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","1","0","1950413","5790242",
"ALEXANDER AVENUE","40","W","VALLEY ROAD","2805129","25/08/2008","Mon","1640","MOTOR CYCLE1 WBD on ALEXANDER AVENUE overtaking hit CAR2 turning right","MOTOR CYCLE1 overtaking vehicle signaling right turn, failed to notice indication of vehicle in front  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1950582","5790211",
"ALEXANDER ROAD","","I","WARD ST","2912801","19/06/2009","Fri","1155","CYCLIST1 (Age 52)WBD on ALEXANDER ROAD sideswiped by CAR2 turning left","CYCLIST1 failed to notice indication of vehicle in front  CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Bright Sun","Fine","Roundabout","Give Way Sign","0","1","0","1772860","5444388",
"ALEXANDRA ROAD","1900","S","DIAGONAL ROAD","2902014","07/03/2009","Sat","0200","CAR1 NBD on ALEXANDRA ROAD lost control; went off road to right, CAR1 hit Cliff Bank","CAR1 fatigue (drowsy, tired, fell asleep)","Wet","Dark","Light Rain","Unknown","N/A","0","1","0","1841113","5826981",
"ALEXANDRA ROAD","600","S","MOUNT VICTORIA ROAD","201013741","01/07/2010","Thu","2215","CAR1 SBD on ALEXANDRA ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 alcohol test below limit, too fast entering corner","Dry","Dark","Fine","Unknown","Nil","0","3","1","1749666","5425542",
"ALEXANDRA ROAD","100","W","UPOKO ROAD","2812691","11/08/2008","Mon","0720","MOPED1 EBD on ALEXANDRA ROAD lost control turning right on right hand bend ","MOPED1 lost control due to road conditions  ENV: road slippery (frost or ice)","Ice/ Snow","Dark","Fine","Unknown","Nil","0","1","0","1750236","5426716",
"ALEXANDRA ROAD","5190","N","WARDVILLE ROAD","2801943","22/03/2008","Sat","2317","CAR1 SBD on ALEXANDRA ROAD lost control turning left, CAR1 hit Fence, Ditch","CAR1 alcohol test above limit or test refused, too fast at temporary speed limit, lost control on unsealed road, emotionally upset/road rage, attention diverted by cigarette etc  ENV: road surface under construction or maintenance","Dry","Dark","Fine","Unknown","N/A","0","1","0","1841562","5824847",
"ALFRED ST","90","E","WALTER ST","201201070","29/01/2012","Sun","2045","MOTOR CYCLE1 EBD on ALFRED ST overtaking hit CAR2 turning right, MOTOR CYCLE1 hit House Or Bldg, Kerb","MOTOR CYCLE1 overtaking, misjudged intentions of another party, service brake defective, worn tread on tyre  CAR2 didn't signal in time when turning right  ENV: entering or leaving private house / farm","Dry","Twilight","Fine","Driveway","N/A","0","1","0","1801399","5817041",
"ALFREDTON ROAD","400","E","FAUVELS ROAD","2913613","17/12/2009","Thu","1630","MOTOR CYCLE1 EBD on ALFREDTON ROAD lost control turning right, MOTOR CYCLE1 hit Cliff Bank, Ditch on right hand bend ","MOTOR CYCLE1 alcohol suspected, drugs suspected, lost control due to road conditions  ENV: road slippery (loose material on seal)","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1830510","5496751",
"ALFREDTON ROAD","4000","S","MANGAONE VALLEY ROAD","201113206","07/12/2011","Wed","1700","SUV1 WBD on ALFREDTON ROAD lost control turning right, SUV1 went Over Bank, Tree on right hand bend ","SUV1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, new driver showed inexperience","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1835136","5494519",
"ALFRISTON ROAD","","I","CLAUDE ROAD","201104367","10/08/2011","Wed","0624","CAR1 EBD on ALFRISTON ROAD hit CAR2 turning right onto ALFRISTON ROAD from the left","CAR1 too fast on straight, showing off racing  CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","1","1","1769380","5901033",
"ALFRISTON ROAD","1000","S","RANFURLY ROAD","201005811","15/09/2010","Wed","1530","CAR1 WBD on ALFRISTON ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, interferred with driver","Dry","Bright Sun","Fine","Unknown","Nil","0","1","1","1771834","5901366",
"ALFRISTON ROAD","15","E","SARALEE DRIVE","201204230","24/08/2012","Fri","1530","CYCLIST1 WBD on ALFRISTON ROAD hit parked veh, CYCLIST1 hit Vehicle","CYCLIST1 too far left/right","Dry","Bright Sun","Fine","T Type Junction","Nil","0","1","0","1770352","5901436",
"ALFRISTON-ARDMORE ROAD","1000","E","ALFRISTON ROAD","2905799","05/09/2009","Sat","0915","MOTOR CYCLE1 NBD on ALFRISTON-ARDMORE ROAD hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Overcast","Fine","Unknown","Nil","0","1","1","1774539","5902000",
"ALISON AVENUE","700","S","GUNN ROAD","201022351","18/06/2010","Fri","0130","SUV1 SBD on ALISON AVENUE lost control turning left, SUV1 hit Ditch","SUV1 alcohol suspected, lost control when turning, incorrect use of vehicle controls  ENV: road slippery (frost or ice)","Ice/ Snow","Dark","Fine","Unknown","N/A","0","1","0","1297780","5045361",
"ALLANTON RD","","I","GRANTON ROAD","201021531","29/03/2010","Mon","1815","MOTOR CYCLE1 WBD on GRANTON ROAD swinging wide hit SUV2 head on, SUV2 hit Ditch","SUV2 lost control avoiding another vehicle  ENV: swung wide at intersection","Dry","Bright Sun","Fine","T Type Junction","Nil","0","1","1","1385874","4915955",
"ALLANTON ROAD","","I","ALLANTON SALESYARD ROAD","201121885","22/05/2011","Sun","1530","MOTOR CYCLE1 SBD on ALLANTON SALESYARD ROAD lost control turning right, MOTOR CYCLE1 hit Ditch on right hand bend ","MOTOR CYCLE1 lost control due to road conditions  ENV: slippery","Dry","Bright Sun","Fine","T Type Junction","Nil","0","1","0","1387327","4912714",
"ALLANTON ROAD","380","S","HUNTLY ROAD","2923549","27/12/2009","Sun","1755","MOTOR CYCLE1 SBD on ALLANTON ROAD overtaking hit VAN2 turning right","MOTOR CYCLE1 misjudged intentions of another party  VAN2 didn't signal in time when turning right, inattentive, brake-lights or indicators faulty or not fitted  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1385447","4916906",
"ALLEN ST","20","E","HENWOOD ROAD","201102274","02/04/2011","Sat","0205","CAR1 WBD on ALLEN ST hit CAR2 headon on straight","CAR1 alcohol test above limit or test refused, too far left/right  CAR2 alcohol test below limit","Dry","Dark","Fine","Unknown","Nil","0","1","0","1762037","5906546",
