"crashID" "meshblockID" "urbanRural"
201135766 1233200 "Main urban area"
2803365 1325600 "Rural area with low urban influence"
201003746 1235000 "Main urban area"
2836957 1235100 "Main urban area"
2834545 1235100 "Main urban area"
2831718 1235100 "Main urban area"
2803584 1235100 "Main urban area"
2836958 1235100 "Main urban area"
201134217 1180403 "Main urban area"
2840884 1177100 "Main urban area"
201137240 1176700 "Main urban area"
2803844 1267302 "Independent Urban Area"
2844394 1267302 "Independent Urban Area"
201238332 1267102 "Independent Urban Area"
2901232 1267200 "Independent Urban Area"
201231560 1279908 "Independent Urban Area"
2903449 1138200 "Independent Urban Area"
201135099 1165700 "Main urban area"
2834046 1165600 "Main urban area"
2806068 1200700 "Main urban area"
2935980 1200402 "Main urban area"
2933065 1259200 "Rural area with low urban influence"
2845007 1206703 "Main urban area"
201138249 1206305 "Main urban area"
201136405 1206806 "Main urban area"
2804722 1139401 "Independent Urban Area"
201136409 1179606 "Main urban area"
201241734 1190305 "Main urban area"
2937974 1317100 "Independent Urban Area"
2839234 1206004 "Main urban area"
201200088 1299500 "Rural area with low urban influence"
2934713 1179701 "Main urban area"
2804736 1313611 "Independent Urban Area"
201040411 1313611 "Independent Urban Area"
201230550 1313611 "Independent Urban Area"
2905610 1313605 "Independent Urban Area"
201231129 1313608 "Independent Urban Area"
2804118 1313605 "Independent Urban Area"
2902354 1313611 "Independent Urban Area"
201002674 1313608 "Independent Urban Area"
201138355 1313611 "Independent Urban Area"
201005041 1313603 "Independent Urban Area"
201201129 1313601 "Independent Urban Area"
201205200 1280705 "Rural area with low urban influence"
2933116 1257700 "Main urban area"
201234033 1143300 "Independent Urban Area"
201139098 1196800 "Main urban area"
201036085 1137400 "Independent Urban Area"
201005684 1137400 "Independent Urban Area"
201230088 1137000 "Independent Urban Area"
201240850 1137900 "Independent Urban Area"
2943479 1137000 "Independent Urban Area"
201034918 1134600 "Independent Urban Area"
2841816 1135702 "Independent Urban Area"
2939006 1135702 "Independent Urban Area"
201037277 1151101 "Independent Urban Area"
2902010 1151101 "Independent Urban Area"
2839930 1134600 "Independent Urban Area"
2805218 1137400 "Independent Urban Area"
2841817 1137100 "Independent Urban Area"
2902715 1137100 "Independent Urban Area"
201134503 1137500 "Independent Urban Area"
201136680 1143400 "Independent Urban Area"
201241987 1143400 "Independent Urban Area"
201134966 1204404 "Main urban area"
201039385 1149400 "Independent Urban Area"
201230475 1149500 "Independent Urban Area"
2839212 1149000 "Independent Urban Area"
201235487 1149300 "Independent Urban Area"
201204887 1149300 "Independent Urban Area"
201030199 1148800 "Independent Urban Area"
2841898 1148800 "Independent Urban Area"
2937992 1150300 "Independent Urban Area"
201138074 1149300 "Independent Urban Area"
201139507 1148800 "Independent Urban Area"
2944891 1145300 "Independent Urban Area"
2839964 1195800 "Main urban area"
201230292 1195200 "Main urban area"
201235410 1195200 "Main urban area"
2938631 1195200 "Main urban area"
201043103 1263802 "Rural area with moderate urban influence"
2942880 1220400 "Main urban area"
201205251 1188900 "Rural area with moderate urban influence"
2842647 1188900 "Rural area with moderate urban influence"
201235452 1256302 "Main urban area"
2842618 1255800 "Main urban area"
201131576 1173900 "Main urban area"
2839238 1173800 "Main urban area"
2845231 1173800 "Main urban area"
201139505 1114700 "Rural area with low urban influence"
201103795 1325600 "Rural area with low urban influence"
2941943 1183700 "Independent Urban Area"
2902738 1208600 "Rural area with moderate urban influence"
201136462 1182900 "Independent Urban Area"
2934709 1183502 "Independent Urban Area"
201234447 1183100 "Independent Urban Area"
201039493 1183100 "Independent Urban Area"
2937996 1182900 "Independent Urban Area"
201102042 1183300 "Independent Urban Area"
2941006 1320101 "Independent Urban Area"
201136322 1215200 "Satellite Urban Area"
201038373 1215000 "Satellite Urban Area"
201003412 1215200 "Satellite Urban Area"
201231134 1215000 "Satellite Urban Area"
201135106 1214900 "Satellite Urban Area"
201040834 1215000 "Satellite Urban Area"
201137105 1214900 "Satellite Urban Area"
201030674 1214900 "Satellite Urban Area"
201232696 1214900 "Satellite Urban Area"
2833173 1215000 "Satellite Urban Area"
201135058 1214900 "Satellite Urban Area"
201240394 1214900 "Satellite Urban Area"
201004158 1214900 "Satellite Urban Area"
201104675 1247700 "Main urban area"
201232689 1191801 "Rural area with high urban influence"
2935948 1191801 "Rural area with high urban influence"
201040704 1191202 "Rural area with high urban influence"
201201320 1191801 "Rural area with high urban influence"
201235474 1191702 "Rural area with high urban influence"
2943144 1219201 "Main urban area"
2802370 1207003 "Rural area with moderate urban influence"
201238772 1207003 "Rural area with moderate urban influence"
201133324 1207003 "Rural area with moderate urban influence"
201130685 1209300 "Rural area with low urban influence"
201230189 1209300 "Rural area with low urban influence"
2944085 1206807 "Rural area with moderate urban influence"
201203330 1206807 "Rural area with moderate urban influence"
201004115 1206807 "Rural area with moderate urban influence"
2936775 1207003 "Rural area with moderate urban influence"
201135663 1207003 "Rural area with moderate urban influence"
2905723 1338701 "Rural area with low urban influence"
201002898 1162701 "Main urban area"
2841758 1162701 "Main urban area"
201137272 1162300 "Main urban area"
2936448 1160900 "Main urban area"
2902060 1160900 "Main urban area"
2933049 1160800 "Main urban area"
201135517 1160800 "Main urban area"
201030067 1160800 "Main urban area"
201233693 1161000 "Main urban area"
2934500 1161000 "Main urban area"
201005217 1161000 "Main urban area"
2835517 1161000 "Main urban area"
201139197 1161200 "Main urban area"
2837409 1160102 "Main urban area"
201230278 1161200 "Main urban area"
201003264 1161200 "Main urban area"
201103953 1161200 "Main urban area"
201040898 1161000 "Main urban area"
201001500 1161000 "Main urban area"
201002894 1161000 "Main urban area"
201044583 1161000 "Main urban area"
201205929 1160102 "Main urban area"
201001524 1161000 "Main urban area"
2934508 1161200 "Main urban area"
2937927 1161200 "Main urban area"
2834276 1161200 "Main urban area"
201137440 1161200 "Main urban area"
201230359 1160500 "Main urban area"
2901207 1160500 "Main urban area"
2804323 1158800 "Main urban area"
201039401 1158800 "Main urban area"
201239377 1159500 "Main urban area"
201002212 1159500 "Main urban area"
2841895 1161300 "Main urban area"
201136633 1159500 "Main urban area"
201134616 1159500 "Main urban area"
201001073 1159500 "Main urban area"
201131212 1159402 "Main urban area"
2931401 1161800 "Main urban area"
201230688 1161300 "Main urban area"
201137290 1161800 "Main urban area"
2933178 1161800 "Main urban area"
201230277 1161300 "Main urban area"
201101404 1158800 "Main urban area"
201034960 1159402 "Main urban area"
201230585 1158800 "Main urban area"
201132447 1158800 "Main urban area"
201033519 1158800 "Main urban area"
2804178 1159402 "Main urban area"
2804322 1159402 "Main urban area"
2839273 1228300 "Main urban area"
201234095 1228400 "Main urban area"
201202711 1228500 "Main urban area"
201134506 1228500 "Main urban area"
201201334 1214900 "Satellite Urban Area"
2942547 1223500 "Main urban area"
2936851 1223301 "Main urban area"
201139037 1223302 "Main urban area"
2941163 1223302 "Main urban area"
2941091 1223302 "Main urban area"
201035723 1223302 "Main urban area"
2832096 1223500 "Main urban area"
201139188 1130800 "Independent Urban Area"
201232202 1130300 "Independent Urban Area"
2904263 1200401 "Main urban area"
2839926 1190400 "Main urban area"
2935757 1190400 "Main urban area"
201004145 1190400 "Main urban area"
201039355 1190200 "Main urban area"
201043319 1190303 "Main urban area"
201201335 1190303 "Main urban area"
201103927 1224900 "Main urban area"
201202268 1140600 "Independent Urban Area"
201202761 1141100 "Independent Urban Area"
201103689 1140800 "Independent Urban Area"
2837006 1162600 "Main urban area"
2934502 1162600 "Main urban area"
201230591 1162600 "Main urban area"
201204329 1162600 "Main urban area"
201139597 1162702 "Main urban area"
2930570 1162702 "Main urban area"
201230569 1162600 "Main urban area"
2832033 1162600 "Main urban area"
2900003 1260700 "Rural area with low urban influence"
201138076 1267704 "Independent Urban Area"
201230032 1267704 "Independent Urban Area"
2841763 1206832 "Main urban area"
201001533 1208900 "Highly rural/remote area"
201134777 1209002 "Rural area with moderate urban influence"
2943483 1209002 "Rural area with moderate urban influence"
201004806 1335300 "Rural area with low urban influence"
201040544 1230720 "Main urban area"
201230693 1172100 "Main urban area"
201230070 1172100 "Main urban area"
2806287 1172200 "Main urban area"
201230505 1305300 "Independent Urban Area"
2839239 1188502 "Main urban area"
2903443 1216800 "Satellite Urban Area"
201004867 1217102 "Satellite Urban Area"
2843665 1215700 "Satellite Urban Area"
201036406 1215700 "Satellite Urban Area"
2840744 1216800 "Satellite Urban Area"
201037186 1217001 "Satellite Urban Area"
201239899 1216200 "Satellite Urban Area"
201137166 1216600 "Satellite Urban Area"
201138369 1215100 "Satellite Urban Area"
201135104 1216901 "Satellite Urban Area"
201201186 1216901 "Satellite Urban Area"
2938660 1215100 "Satellite Urban Area"
201003763 1215100 "Satellite Urban Area"
201039351 1196100 "Main urban area"
2930438 1317700 "Independent Urban Area"
201238837 1306200 "Independent Urban Area"
2943281 1306200 "Independent Urban Area"
2833501 1340800 "Independent Urban Area"
201039474 1305500 "Independent Urban Area"
201230685 1305500 "Independent Urban Area"
2801190 1325800 "Rural area with low urban influence"
201002380 1325904 "Rural area with moderate urban influence"
201137315 1325904 "Rural area with moderate urban influence"
201041857 1326002 "Rural area with moderate urban influence"
201036222 1325904 "Rural area with moderate urban influence"
201041136 1325800 "Rural area with low urban influence"
2839800 1325800 "Rural area with low urban influence"
201201045 1325800 "Rural area with low urban influence"
201043012 1144800 "Independent Urban Area"
2941826 1187001 "Main urban area"
2904227 1254900 "Main urban area"
201041878 1254700 "Main urban area"
2941158 1279042 "Independent Urban Area"
201135092 1311400 "Independent Urban Area"
201235412 1311400 "Independent Urban Area"
201104437 1139600 "Independent Urban Area"
201002417 1139600 "Independent Urban Area"
201039615 1139500 "Independent Urban Area"
2936839 1139600 "Independent Urban Area"
2844215 1139600 "Independent Urban Area"
201230480 1139600 "Independent Urban Area"
201205736 1139500 "Independent Urban Area"
201132584 1139500 "Independent Urban Area"
2830964 1139500 "Independent Urban Area"
201002338 1141900 "Independent Urban Area"
201232222 1141900 "Independent Urban Area"
2832537 1311700 "Independent Urban Area"
2842637 1311400 "Independent Urban Area"
201135137 1142000 "Independent Urban Area"
201130085 1142000 "Independent Urban Area"
2844214 1138800 "Independent Urban Area"
201038701 1143000 "Independent Urban Area"
2906200 1139700 "Independent Urban Area"
201036212 1139600 "Independent Urban Area"
2839932 1141700 "Independent Urban Area"
2803324 1141800 "Independent Urban Area"
201139532 1141700 "Independent Urban Area"
201104476 1141800 "Independent Urban Area"
201240364 1261500 "Rural area with low urban influence"
201006135 1261500 "Rural area with low urban influence"
201203728 1279906 "Independent Urban Area"
2937925 1279901 "Rural area with low urban influence"
201105712 1279901 "Rural area with low urban influence"
2931352 1279901 "Rural area with low urban influence"
201234453 1279905 "Independent Urban Area"
201134618 1261500 "Rural area with low urban influence"
201136384 1261500 "Rural area with low urban influence"
2831378 1261300 "Highly rural/remote area"
201004780 1261400 "Rural area with low urban influence"
201201262 1261400 "Rural area with low urban influence"
2943990 1261400 "Rural area with low urban influence"
201101338 1261500 "Rural area with low urban influence"
201104740 1261100 "Rural area with low urban influence"
2837122 1261100 "Rural area with low urban influence"
2839948 1261100 "Rural area with low urban influence"
2936850 1261200 "Rural area with low urban influence"
2837113 1261300 "Highly rural/remote area"
2833177 1279906 "Independent Urban Area"
201003202 1279906 "Independent Urban Area"
201003211 1270600 "Independent Urban Area"
201201917 1279801 "Independent Urban Area"
2839227 1261500 "Rural area with low urban influence"
201033138 1261500 "Rural area with low urban influence"
2934647 1261500 "Rural area with low urban influence"
201037172 1261500 "Rural area with low urban influence"
201037134 1261500 "Rural area with low urban influence"
201136363 1261100 "Rural area with low urban influence"
201230684 1261100 "Rural area with low urban influence"
201004851 1260900 "Highly rural/remote area"
2844476 1261100 "Rural area with low urban influence"
201138020 1260900 "Highly rural/remote area"
201101499 1261602 "Rural area with moderate urban influence"
201235419 1261602 "Rural area with moderate urban influence"
201140760 1261602 "Rural area with moderate urban influence"
2935135 1261500 "Rural area with low urban influence"
201104813 1279801 "Independent Urban Area"
201103938 1280603 "Highly rural/remote area"
2904625 1280603 "Highly rural/remote area"
201036317 1279801 "Independent Urban Area"
201030047 1279901 "Rural area with low urban influence"
201041881 1279801 "Independent Urban Area"
201003775 1279901 "Rural area with low urban influence"
2800006 1261604 "Rural area with low urban influence"
201136343 1261400 "Rural area with low urban influence"
2836949 1261603 "Rural area with low urban influence"
2801132 1280603 "Highly rural/remote area"
2936051 1280603 "Highly rural/remote area"
2902384 1280603 "Highly rural/remote area"
201042820 1280603 "Highly rural/remote area"
201034301 1280603 "Highly rural/remote area"
201234789 1280603 "Highly rural/remote area"
201004316 1280603 "Highly rural/remote area"
2902062 1170002 "Main urban area"
201039420 1160800 "Main urban area"
2938618 1160800 "Main urban area"
201103725 1160500 "Main urban area"
2933051 1160500 "Main urban area"
201033540 1218400 "Main urban area"
2935137 1218400 "Main urban area"
201038772 1218400 "Main urban area"
201230473 1218400 "Main urban area"
2936733 1218400 "Main urban area"
2840763 1218400 "Main urban area"
201043055 1224500 "Main urban area"
2832017 1218300 "Main urban area"
201137484 1218400 "Main urban area"
2936119 1219401 "Main urban area"
2904508 1210403 "Rural area with low urban influence"
201234782 1210403 "Rural area with low urban influence"
2835673 1210200 "Rural area with moderate urban influence"
201103276 1210200 "Rural area with moderate urban influence"
201234902 1163100 "Main urban area"
201239847 1163100 "Main urban area"
201004879 1163100 "Main urban area"
201043225 1254403 "Main urban area"
201204976 1251605 "Rural area with high urban influence"
201039324 1264502 "Main urban area"
201030620 1340300 "Independent Urban Area"
2803808 1130300 "Independent Urban Area"
201137291 1193800 "Rural area with high urban influence"
201202739 1155600 "Main urban area"
2837053 1155600 "Main urban area"
2844015 1298903 "Independent Urban Area"
2844669 1171500 "Main urban area"
201043044 1168200 "Main urban area"
201241909 1182207 "Rural area with moderate urban influence"
2806079 1182207 "Rural area with moderate urban influence"
201139231 1183400 "Independent Urban Area"
201104758 1183400 "Independent Urban Area"
2831325 1206912 "Main urban area"
2844202 1161502 "Main urban area"
201203776 1161502 "Main urban area"
201001729 1161502 "Main urban area"
201231170 1161502 "Main urban area"
2835661 1161502 "Main urban area"
2845124 1161501 "Main urban area"
201037917 1161502 "Main urban area"
201031114 1161502 "Main urban area"
201238792 1161502 "Main urban area"
2938060 1161502 "Main urban area"
201030645 1161502 "Main urban area"
2944170 1161502 "Main urban area"
201204405 1161502 "Main urban area"
201135177 1161400 "Main urban area"
2802373 1161400 "Main urban area"
201138368 1161400 "Main urban area"
201033530 1161400 "Main urban area"
201135110 1161400 "Main urban area"
201230534 1191001 "Main urban area"
201004900 1191001 "Main urban area"
2835376 1191002 "Main urban area"
201102675 1190808 "Main urban area"
2933406 1190902 "Main urban area"
2831786 1190901 "Main urban area"
201032869 1190901 "Main urban area"
2830934 1190804 "Main urban area"
201003409 1190901 "Main urban area"
2934739 1190804 "Main urban area"
201135587 1191002 "Main urban area"
201137271 1191002 "Main urban area"
2901329 1190903 "Main urban area"
2941960 1190903 "Main urban area"
201003706 1191002 "Main urban area"
2843204 1190901 "Main urban area"
201236458 1190901 "Main urban area"
2933411 1190903 "Main urban area"
201138250 1191002 "Main urban area"
201102342 1190903 "Main urban area"
201003208 1190903 "Main urban area"
201035818 1190903 "Main urban area"
201204407 1191002 "Main urban area"
201131434 1191002 "Main urban area"
2831777 1190903 "Main urban area"
201135103 1190804 "Main urban area"
201003786 1190808 "Main urban area"
201230288 1190811 "Main urban area"
201241407 1190811 "Main urban area"
2801416 1161501 "Main urban area"
2803541 1161400 "Main urban area"
201102972 1161400 "Main urban area"
2834037 1161502 "Main urban area"
2805220 1161400 "Main urban area"
2941822 1161400 "Main urban area"
201004796 1161400 "Main urban area"
201135693 1161502 "Main urban area"
2930580 1161400 "Main urban area"
201034970 1161502 "Main urban area"
201001052 1191001 "Main urban area"
201006178 1179606 "Main urban area"
2842776 1176700 "Main urban area"
201201173 1176700 "Main urban area"
201036270 1175202 "Main urban area"
201130478 1175202 "Main urban area"
201005272 1163200 "Main urban area"
2831224 1163100 "Main urban area"
201233041 1175000 "Main urban area"
201238790 1175000 "Main urban area"
201130026 1175000 "Main urban area"
2845313 1175000 "Main urban area"
2943324 1175000 "Main urban area"
201132565 1175000 "Main urban area"
201239814 1175100 "Main urban area"
201030832 1176500 "Main urban area"
2934580 1176500 "Main urban area"
2940115 1176500 "Main urban area"
201132068 1176500 "Main urban area"
201131202 1175100 "Main urban area"
2840756 1175000 "Main urban area"
201134762 1172800 "Main urban area"
2837927 1172800 "Main urban area"
2933050 1172600 "Main urban area"
201241798 1172600 "Main urban area"
201103709 1172600 "Main urban area"
201236634 1172600 "Main urban area"
201104441 1172600 "Main urban area"
2937487 1171700 "Main urban area"
2830937 1175000 "Main urban area"
201204493 1175300 "Main urban area"
201137560 1175300 "Main urban area"
201132591 1175300 "Main urban area"
2840888 1175000 "Main urban area"
201139594 1175000 "Main urban area"
2902080 1175000 "Main urban area"
201037219 1175000 "Main urban area"
201136463 1175000 "Main urban area"
201037926 1175000 "Main urban area"
2844201 1175000 "Main urban area"
201131438 1175000 "Main urban area"
2838627 1175000 "Main urban area"
201041838 1175000 "Main urban area"
201204478 1175400 "Main urban area"
201036302 1175000 "Main urban area"
201135695 1170400 "Main urban area"
2944365 1170400 "Main urban area"
201138358 1170400 "Main urban area"
201038683 1170400 "Main urban area"
201230199 1170400 "Main urban area"
201040825 1170400 "Main urban area"
201139528 1170400 "Main urban area"
201037193 1170400 "Main urban area"
201134771 1170400 "Main urban area"
201030833 1169800 "Main urban area"
2803528 1170900 "Main urban area"
2805332 1170900 "Main urban area"
201136321 1170900 "Main urban area"
201240344 1170900 "Main urban area"
201041852 1170900 "Main urban area"
201101418 1170900 "Main urban area"
201134985 1170900 "Main urban area"
201234436 1170900 "Main urban area"
2834411 1166200 "Main urban area"
201230903 1166600 "Main urban area"
201004362 1166600 "Main urban area"
2930575 1166600 "Main urban area"
201036294 1166600 "Main urban area"
2842762 1166500 "Main urban area"
2941972 1166600 "Main urban area"
201005243 1166900 "Main urban area"
2843800 1167100 "Main urban area"
201002232 1167100 "Main urban area"
201041218 1167100 "Main urban area"
201034157 1166900 "Main urban area"
2802366 1167100 "Main urban area"
2840757 1167100 "Main urban area"
2839905 1167100 "Main urban area"
2834462 1167100 "Main urban area"
2930556 1167100 "Main urban area"
2805948 1167100 "Main urban area"
201201032 1166900 "Main urban area"
201139135 1166900 "Main urban area"
201230905 1166900 "Main urban area"
201039486 1166900 "Main urban area"
201134632 1166900 "Main urban area"
2943332 1167100 "Main urban area"
2830814 1164700 "Main urban area"
201004864 1164700 "Main urban area"
2939753 1164600 "Main urban area"
201043329 1165800 "Main urban area"
201136631 1165800 "Main urban area"
2903274 1164700 "Main urban area"
201031170 1164700 "Main urban area"
201136625 1164700 "Main urban area"
2930589 1165800 "Main urban area"
2903711 1164700 "Main urban area"
201030834 1167900 "Main urban area"
2831225 1165500 "Main urban area"
2906190 1165700 "Main urban area"
2944090 1165700 "Main urban area"
2938062 1165500 "Main urban area"
201131401 1165700 "Main urban area"
2802889 1165700 "Main urban area"
2805327 1166000 "Main urban area"
2943168 1166100 "Main urban area"
201131439 1165800 "Main urban area"
2934714 1165100 "Main urban area"
2806411 1165800 "Main urban area"
201204428 1165800 "Main urban area"
2931412 1167602 "Main urban area"
2834294 1168100 "Main urban area"
2802595 1168100 "Main urban area"
201036089 1167700 "Main urban area"
201230994 1167900 "Main urban area"
2837410 1167700 "Main urban area"
2901351 1167700 "Main urban area"
201101460 1165500 "Main urban area"
201032809 1165600 "Main urban area"
2934544 1165500 "Main urban area"
2944364 1170900 "Main urban area"
2837922 1170400 "Main urban area"
2938076 1170900 "Main urban area"
201033656 1163800 "Main urban area"
2840753 1163700 "Main urban area"
201103959 1163200 "Main urban area"
201134209 1163200 "Main urban area"
201136399 1163400 "Main urban area"
201104757 1163400 "Main urban area"
201234038 1163400 "Main urban area"
2902031 1216000 "Satellite Urban Area"
201043097 1216000 "Satellite Urban Area"
2943995 1216400 "Satellite Urban Area"
201234431 1171600 "Main urban area"
201204392 1172600 "Main urban area"
2830940 1172600 "Main urban area"
201204823 1175300 "Main urban area"
2804129 1175300 "Main urban area"
201230659 1175300 "Main urban area"
201135176 1175000 "Main urban area"
201034195 1175000 "Main urban area"
2835527 1175300 "Main urban area"
201134755 1175000 "Main urban area"
201103954 1175202 "Main urban area"
201201034 1175202 "Main urban area"
2933184 1175202 "Main urban area"
201236647 1192800 "Main urban area"
2834445 1192800 "Main urban area"
2835669 1192800 "Main urban area"
2835663 1163200 "Main urban area"
201033590 1163200 "Main urban area"
201002218 1163200 "Main urban area"
2806415 1163200 "Main urban area"
201036087 1163200 "Main urban area"
2834281 1163200 "Main urban area"
2841823 1163200 "Main urban area"
201231550 1171600 "Main urban area"
201132501 1171600 "Main urban area"
201043024 1171600 "Main urban area"
201103226 1171600 "Main urban area"
2802369 1171600 "Main urban area"
201030664 1171500 "Main urban area"
201239895 1171700 "Main urban area"
201135594 1171700 "Main urban area"
2940549 1171600 "Main urban area"
2806147 1171600 "Main urban area"
2932244 1170400 "Main urban area"
201135075 1170400 "Main urban area"
201138359 1170400 "Main urban area"
201103955 1170400 "Main urban area"
201004149 1170400 "Main urban area"
201231088 1170400 "Main urban area"
2845185 1170400 "Main urban area"
201042922 1170400 "Main urban area"
201034966 1170400 "Main urban area"
201043043 1170400 "Main urban area"
201136387 1170400 "Main urban area"
201230298 1170400 "Main urban area"
201031554 1170400 "Main urban area"
201032818 1170400 "Main urban area"
2938677 1170400 "Main urban area"
2835660 1170400 "Main urban area"
201235408 1170400 "Main urban area"
2842645 1170400 "Main urban area"
2905697 1170400 "Main urban area"
