"meshblockID" "urbanRural" "code"
2191302 "Main urban area" "A"
2366305 "Main urban area" "A"
2192900 "Main urban area" "A"
2366109 "Main urban area" "A"
2192301 "Main urban area" "A"
2366404 "Main urban area" "A"
2366107 "Main urban area" "A"
2365711 "Main urban area" "A"
2194003 "Main urban area" "A"
2786602 "Independent Urban Area" "B"
2794800 "Independent Urban Area" "B"
2790500 "Independent Urban Area" "B"
2786601 "Independent Urban Area" "B"
2964800 "Main urban area" "A"
2903600 "Main urban area" "A"
2901000 "Main urban area" "A"
61807 "Main urban area" "A"
2898800 "Main urban area" "A"
439603 "Highly rural/remote area" "G"
2358002 "Main urban area" "A"
2194600 "Main urban area" "A"
2894600 "Main urban area" "A"
178705 "Main urban area" "A"
2191301 "Main urban area" "A"
2366108 "Main urban area" "A"
2963100 "Main urban area" "A"
2504115 "Main urban area" "A"
516507 "Satellite Urban Area" "C"
2904900 "Main urban area" "A"
2504004 "Main urban area" "A"
226301 "Main urban area" "A"
2964700 "Main urban area" "A"
2504108 "Main urban area" "A"
233300 "Main urban area" "A"
2510202 "Main urban area" "A"
240900 "Main urban area" "A"
2504114 "Main urban area" "A"
628002 "Main urban area" "A"
2504109 "Main urban area" "A"
264300 "Main urban area" "A"
2464300 "Rural area with high urban influence" "D"
2504110 "Main urban area" "A"
2964600 "Main urban area" "A"
2965100 "Main urban area" "A"
2058702 "Main urban area" "A"
2269600 "Satellite Urban Area" "C"
1889900 "Main urban area" "A"
1887600 "Main urban area" "A"
2037100 "Main urban area" "A"
1887400 "Main urban area" "A"
2509902 "Main urban area" "A"
2256700 "Highly rural/remote area" "G"
1892500 "Main urban area" "A"
2509901 "Main urban area" "A"
2624401 "Main urban area" "A"
2272200 "Rural area with moderate urban influence" "E"
2268700 "Satellite Urban Area" "C"
2660500 "Main urban area" "A"
1908400 "Main urban area" "A"
1890300 "Main urban area" "A"
1424600 "Main urban area" "A"
1429700 "Main urban area" "A"
69000 "Rural area with high urban influence" "D"
2642300 "Main urban area" "A"
1906100 "Main urban area" "A"
2038000 "Main urban area" "A"
1431800 "Main urban area" "A"
1423000 "Main urban area" "A"
439800 "Highly rural/remote area" "G"
2489900 "Main urban area" "A"
2058701 "Main urban area" "A"
2038202 "Main urban area" "A"
1401301 "Main urban area" "A"
1422800 "Main urban area" "A"
161900 "Main urban area" "A"
2489807 "Main urban area" "A"
1654500 "Independent Urban Area" "B"
1429800 "Main urban area" "A"
341200 "Main urban area" "A"
2590204 "Main urban area" "A"
1429000 "Main urban area" "A"
1419800 "Main urban area" "A"
358424 "Area outside urban/rural profile" "Z"
2498901 "Main urban area" "A"
1422900 "Main urban area" "A"
1429900 "Main urban area" "A"
466700 "Main urban area" "A"
2583500 "Main urban area" "A"
1425902 "Main urban area" "A"
1420700 "Main urban area" "A"
476500 "Main urban area" "A"
1427911 "Area outside urban/rural profile" "Z"
1428500 "Main urban area" "A"
271800 "Main urban area" "A"
595700 "Main urban area" "A"
1887500 "Main urban area" "A"
2056607 "Main urban area" "A"
1892600 "Main urban area" "A"
2268601 "Satellite Urban Area" "C"
2013300 "Main urban area" "A"
2091601 "Main urban area" "A"
2011400 "Main urban area" "A"
2555701 "Main urban area" "A"
2097100 "Main urban area" "A"
2489805 "Main urban area" "A"
1410804 "Main urban area" "A"
1430200 "Main urban area" "A"
2098000 "Main urban area" "A"
1428900 "Main urban area" "A"
1410902 "Rural area with high urban influence" "D"
2286405 "Rural area with low urban influence" "F"
1714400 "Main urban area" "A"
2317900 "Main urban area" "A"
1717700 "Main urban area" "A"
2013800 "Main urban area" "A"
1718300 "Main urban area" "A"
1696600 "Main urban area" "A"
1716202 "Main urban area" "A"
1696500 "Main urban area" "A"
1718200 "Main urban area" "A"
1718000 "Main urban area" "A"
2317000 "Main urban area" "A"
2090500 "Main urban area" "A"
1686800 "Rural area with high urban influence" "D"
1716000 "Main urban area" "A"
1872100 "Independent Urban Area" "B"
1867600 "Independent Urban Area" "B"
130200 "Rural area with low urban influence" "F"
1870000 "Independent Urban Area" "B"
166905 "Main urban area" "A"
1866700 "Independent Urban Area" "B"
309200 "Main urban area" "A"
1866802 "Independent Urban Area" "B"
244700 "Main urban area" "A"
1867500 "Independent Urban Area" "B"
254100 "Main urban area" "A"
1856400 "Independent Urban Area" "B"
475000 "Main urban area" "A"
1858600 "Highly rural/remote area" "G"
623300 "Main urban area" "A"
640700 "Main urban area" "A"
290600 "Main urban area" "A"
1867700 "Independent Urban Area" "B"
1870100 "Independent Urban Area" "B"
116600 "Independent Urban Area" "B"
209703 "Satellite Urban Area" "C"
186002 "Main urban area" "A"
333200 "Main urban area" "A"
1047606 "Highly rural/remote area" "G"
676604 "Main urban area" "A"
541400 "Main urban area" "A"
717705 "Main urban area" "A"
637802 "Main urban area" "A"
3083401 "Main urban area" "A"
3139700 "Main urban area" "A"
3140100 "Main urban area" "A"
3138600 "Main urban area" "A"
3109900 "Main urban area" "A"
3134000 "Main urban area" "A"
3161500 "Rural area with high urban influence" "D"
3110000 "Main urban area" "A"
3140400 "Main urban area" "A"
3139200 "Main urban area" "A"
3134400 "Main urban area" "A"
3140900 "Main urban area" "A"
3141200 "Main urban area" "A"
3138500 "Main urban area" "A"
3139500 "Main urban area" "A"
3141300 "Main urban area" "A"
116500 "Independent Urban Area" "B"
217000 "Rural area with moderate urban influence" "E"
307300 "Main urban area" "A"
224238 "Main urban area" "A"
403500 "Main urban area" "A"
236810 "Main urban area" "A"
3139400 "Main urban area" "A"
3145100 "Main urban area" "A"
651600 "Main urban area" "A"
3104800 "Main urban area" "A"
3134300 "Main urban area" "A"
567401 "Main urban area" "A"
590400 "Main urban area" "A"
439400 "Highly rural/remote area" "G"
1048407 "Highly rural/remote area" "G"
516009 "Area outside urban/rural profile" "Z"
337400 "Main urban area" "A"
454400 "Main urban area" "A"
534700 "Main urban area" "A"
519800 "Main urban area" "A"
641800 "Main urban area" "A"
294102 "Main urban area" "A"
914500 "Main urban area" "A"
914802 "Main urban area" "A"
915100 "Main urban area" "A"
920000 "Main urban area" "A"
1112002 "Rural area with low urban influence" "F"
913900 "Main urban area" "A"
915700 "Main urban area" "A"
978110 "Main urban area" "A"
895000 "Main urban area" "A"
910800 "Main urban area" "A"
893400 "Main urban area" "A"
912200 "Main urban area" "A"
911500 "Main urban area" "A"
915800 "Main urban area" "A"
894900 "Main urban area" "A"
886600 "Main urban area" "A"
911200 "Main urban area" "A"
916000 "Main urban area" "A"
978400 "Main urban area" "A"
917600 "Main urban area" "A"
1222600 "Main urban area" "A"
1222402 "Main urban area" "A"
1335800 "Rural area with low urban influence" "F"
1220800 "Main urban area" "A"
1319400 "Independent Urban Area" "B"
1220002 "Main urban area" "A"
774450 "Main urban area" "A"
1220300 "Main urban area" "A"
1059910 "Independent Urban Area" "B"
1319500 "Independent Urban Area" "B"
754000 "Main urban area" "A"
753302 "Main urban area" "A"
771600 "Main urban area" "A"
774420 "Main urban area" "A"
753303 "Main urban area" "A"
772903 "Main urban area" "A"
1219700 "Main urban area" "A"
1220001 "Main urban area" "A"
1587917 "Area outside urban/rural profile" "Z"
1385901 "Main urban area" "A"
1280102 "Rural area with moderate urban influence" "E"
1280101 "Rural area with moderate urban influence" "E"
775814 "Main urban area" "A"
1359002 "Main urban area" "A"
1059314 "Independent Urban Area" "B"
1365000 "Rural area with high urban influence" "D"
951600 "Main urban area" "A"
1385200 "Main urban area" "A"
949000 "Main urban area" "A"
1385300 "Main urban area" "A"
1096600 "Highly rural/remote area" "G"
951500 "Main urban area" "A"
1108700 "Rural area with moderate urban influence" "E"
1096800 "Rural area with low urban influence" "F"
948802 "Main urban area" "A"
1096700 "Highly rural/remote area" "G"
1385401 "Main urban area" "A"
1385403 "Main urban area" "A"
1096900 "Rural area with low urban influence" "F"
1109100 "Rural area with low urban influence" "F"
2658300 "Main urban area" "A"
2813300 "Highly rural/remote area" "G"
2580304 "Main urban area" "A"
2616000 "Main urban area" "A"
2498200 "Main urban area" "A"
2616200 "Main urban area" "A"
2616100 "Main urban area" "A"
2581100 "Main urban area" "A"
2582503 "Main urban area" "A"
2617601 "Main urban area" "A"
2592300 "Main urban area" "A"
2488101 "Main urban area" "A"
2476400 "Main urban area" "A"
2623600 "Main urban area" "A"
2623500 "Main urban area" "A"
2616800 "Main urban area" "A"
2658200 "Main urban area" "A"
2581200 "Main urban area" "A"
2582600 "Main urban area" "A"
2659200 "Main urban area" "A"
2783700 "Independent Urban Area" "B"
3175801 "Highly rural/remote area" "G"
2783900 "Independent Urban Area" "B"
2784900 "Independent Urban Area" "B"
2784000 "Independent Urban Area" "B"
2783800 "Independent Urban Area" "B"
2364600 "Main urban area" "A"
2783100 "Independent Urban Area" "B"
2213500 "Main urban area" "A"
2781700 "Independent Urban Area" "B"
2213700 "Main urban area" "A"
2212200 "Main urban area" "A"
2211900 "Main urban area" "A"
2365001 "Main urban area" "A"
2362000 "Main urban area" "A"
2175200 "Main urban area" "A"
2782000 "Independent Urban Area" "B"
2778402 "Independent Urban Area" "B"
2908400 "Main urban area" "A"
2902300 "Main urban area" "A"
2349600 "Highly rural/remote area" "G"
1864100 "Independent Urban Area" "B"
2905202 "Main urban area" "A"
1862700 "Independent Urban Area" "B"
1860100 "Independent Urban Area" "B"
2869000 "Main urban area" "A"
1871102 "Independent Urban Area" "B"
2223300 "Highly rural/remote area" "G"
2365002 "Main urban area" "A"
2942400 "Main urban area" "A"
1861100 "Independent Urban Area" "B"
1863400 "Independent Urban Area" "B"
2357900 "Main urban area" "A"
2908300 "Main urban area" "A"
2528501 "Main urban area" "A"
1863900 "Independent Urban Area" "B"
1860900 "Independent Urban Area" "B"
2905400 "Main urban area" "A"
2515203 "Main urban area" "A"
1860004 "Independent Urban Area" "B"
1861900 "Independent Urban Area" "B"
2868900 "Main urban area" "A"
2515106 "Main urban area" "A"
1863100 "Independent Urban Area" "B"
1854602 "Independent Urban Area" "B"
89900 "Main urban area" "A"
2515201 "Main urban area" "A"
1860005 "Independent Urban Area" "B"
1863600 "Independent Urban Area" "B"
145100 "Rural area with low urban influence" "F"
2513700 "Main urban area" "A"
153700 "Main urban area" "A"
2528905 "Main urban area" "A"
350000 "Main urban area" "A"
2513504 "Main urban area" "A"
228500 "Main urban area" "A"
2515103 "Main urban area" "A"
255900 "Main urban area" "A"
243200 "Main urban area" "A"
2903700 "Main urban area" "A"
612100 "Main urban area" "A"
2908700 "Main urban area" "A"
1860800 "Independent Urban Area" "B"
1864000 "Independent Urban Area" "B"
637300 "Main urban area" "A"
1858200 "Independent Urban Area" "B"
1861000 "Independent Urban Area" "B"
2370100 "Rural area with low urban influence" "F"
2057503 "Main urban area" "A"
2285004 "Highly rural/remote area" "G"
2515108 "Main urban area" "A"
1909600 "Main urban area" "A"
2515107 "Main urban area" "A"
2056613 "Main urban area" "A"
1909500 "Main urban area" "A"
1417800 "Main urban area" "A"
1907900 "Main urban area" "A"
1417000 "Main urban area" "A"
1885500 "Main urban area" "A"
1417500 "Main urban area" "A"
1421300 "Main urban area" "A"
1418200 "Main urban area" "A"
1418000 "Main urban area" "A"
1417300 "Main urban area" "A"
94100 "Main urban area" "A"
1419500 "Area outside urban/rural profile" "Z"
143500 "Independent Urban Area" "B"
154001 "Main urban area" "A"
1885400 "Main urban area" "A"
515104 "Satellite Urban Area" "C"
2057902 "Main urban area" "A"
421500 "Main urban area" "A"
2011200 "Main urban area" "A"
405900 "Main urban area" "A"
1981700 "Main urban area" "A"
236827 "Main urban area" "A"
2090300 "Main urban area" "A"
632800 "Main urban area" "A"
2089900 "Main urban area" "A"
1417600 "Main urban area" "A"
278509 "Main urban area" "A"
2104602 "Highly rural/remote area" "G"
1418100 "Main urban area" "A"
2325000 "Main urban area" "A"
1719300 "Main urban area" "A"
2017002 "Main urban area" "A"
1698300 "Main urban area" "A"
2317400 "Main urban area" "A"
1723600 "Main urban area" "A"
1695600 "Main urban area" "A"
1697300 "Main urban area" "A"
1714000 "Main urban area" "A"
1712500 "Main urban area" "A"
1723200 "Main urban area" "A"
2095900 "Main urban area" "A"
2095100 "Main urban area" "A"
85501 "Main urban area" "A"
439303 "Rural area with low urban influence" "F"
180703 "Main urban area" "A"
223300 "Main urban area" "A"
1722600 "Main urban area" "A"
250700 "Main urban area" "A"
1697000 "Main urban area" "A"
409900 "Main urban area" "A"
537200 "Main urban area" "A"
627500 "Main urban area" "A"
711173 "Main urban area" "A"
3128100 "Main urban area" "A"
3127300 "Main urban area" "A"
3115300 "Main urban area" "A"
3128400 "Main urban area" "A"
3137700 "Main urban area" "A"
3115400 "Main urban area" "A"
3127400 "Main urban area" "A"
3115600 "Main urban area" "A"
3133300 "Main urban area" "A"
3136800 "Main urban area" "A"
1039600 "Highly rural/remote area" "G"
1030000 "Rural area with low urban influence" "F"
1371900 "Main urban area" "A"
1375600 "Main urban area" "A"
1372000 "Main urban area" "A"
1380600 "Main urban area" "A"
1381600 "Main urban area" "A"
1383502 "Main urban area" "A"
1370300 "Main urban area" "A"
1372600 "Main urban area" "A"
1375100 "Main urban area" "A"
1382700 "Main urban area" "A"
1104700 "Independent Urban Area" "B"
852400 "Rural area with low urban influence" "F"
1371500 "Main urban area" "A"
1375500 "Main urban area" "A"
852001 "Rural area with moderate urban influence" "E"
851600 "Satellite Urban Area" "C"
1374200 "Main urban area" "A"
1371800 "Main urban area" "A"
1183808 "Independent Urban Area" "B"
1106601 "Independent Urban Area" "B"
943900 "Satellite Urban Area" "C"
1183804 "Independent Urban Area" "B"
1106400 "Rural area with low urban influence" "F"
944000 "Satellite Urban Area" "C"
851500 "Satellite Urban Area" "C"
1096100 "Rural area with low urban influence" "F"
946600 "Satellite Urban Area" "C"
1105302 "Rural area with low urban influence" "F"
1103302 "Independent Urban Area" "B"
1183805 "Independent Urban Area" "B"
1372200 "Main urban area" "A"
1384400 "Main urban area" "A"
1370200 "Main urban area" "A"
1374400 "Main urban area" "A"
946900 "Satellite Urban Area" "C"
1182701 "Rural area with moderate urban influence" "E"
1091800 "Rural area with low urban influence" "F"
911402 "Main urban area" "A"
1103400 "Independent Urban Area" "B"
910700 "Main urban area" "A"
913300 "Main urban area" "A"
916701 "Main urban area" "A"
896300 "Main urban area" "A"
956601 "Main urban area" "A"
906200 "Main urban area" "A"
978118 "Main urban area" "A"
913200 "Main urban area" "A"
1320000 "Independent Urban Area" "B"
906100 "Main urban area" "A"
1318300 "Independent Urban Area" "B"
1221900 "Main urban area" "A"
1338500 "Rural area with low urban influence" "F"
1318600 "Independent Urban Area" "B"
1317700 "Independent Urban Area" "B"
771100 "Main urban area" "A"
999800 "Rural area with low urban influence" "F"
759731 "Main urban area" "A"
1221802 "Main urban area" "A"
777700 "Main urban area" "A"
776000 "Main urban area" "A"
775803 "Main urban area" "A"
774408 "Main urban area" "A"
752601 "Main urban area" "A"
752202 "Main urban area" "A"
1319901 "Independent Urban Area" "B"
1264305 "Main urban area" "A"
752602 "Main urban area" "A"
752500 "Main urban area" "A"
2884800 "Main urban area" "A"
2907200 "Main urban area" "A"
2973801 "Rural area with high urban influence" "D"
2894300 "Main urban area" "A"
2905900 "Main urban area" "A"
2866000 "Main urban area" "A"
2888100 "Main urban area" "A"
3182000 "Highly rural/remote area" "G"
2907400 "Main urban area" "A"
2893600 "Main urban area" "A"
2888202 "Main urban area" "A"
2879500 "Main urban area" "A"
2455705 "Rural area with high urban influence" "D"
2502301 "Main urban area" "A"
2941900 "Main urban area" "A"
2865300 "Main urban area" "A"
2502401 "Main urban area" "A"
2453202 "Main urban area" "A"
2865900 "Main urban area" "A"
2867000 "Main urban area" "A"
2502100 "Main urban area" "A"
2450900 "Main urban area" "A"
2447502 "Main urban area" "A"
2456502 "Main urban area" "A"
2755700 "Highly rural/remote area" "G"
2453100 "Main urban area" "A"
2451202 "Main urban area" "A"
2456600 "Main urban area" "A"
2455504 "Main urban area" "A"
2451100 "Main urban area" "A"
2455204 "Main urban area" "A"
2502002 "Main urban area" "A"
2879100 "Main urban area" "A"
2883900 "Main urban area" "A"
2906001 "Main urban area" "A"
2888201 "Main urban area" "A"
2447501 "Main urban area" "A"
2502501 "Main urban area" "A"
2502200 "Main urban area" "A"
2592100 "Main urban area" "A"
2451803 "Main urban area" "A"
2498000 "Main urban area" "A"
2497600 "Main urban area" "A"
2539602 "Main urban area" "A"
2487800 "Main urban area" "A"
2607100 "Main urban area" "A"
2475500 "Main urban area" "A"
2591100 "Main urban area" "A"
2087606 "Main urban area" "A"
2279903 "Area outside urban/rural profile" "Z"
1980600 "Main urban area" "A"
2087607 "Main urban area" "A"
2279806 "Independent Urban Area" "B"
1980800 "Main urban area" "A"
2475400 "Main urban area" "A"
2275102 "Independent Urban Area" "B"
2350705 "Highly rural/remote area" "G"
2825600 "Highly rural/remote area" "G"
2477200 "Main urban area" "A"
2088703 "Main urban area" "A"
1962800 "Main urban area" "A"
2777900 "Rural area with moderate urban influence" "E"
2078304 "Main urban area" "A"
2283000 "Area outside urban/rural profile" "Z"
1700500 "Main urban area" "A"
1701600 "Main urban area" "A"
3027801 "Area outside urban/rural profile" "Z"
2316002 "Main urban area" "A"
2350500 "Rural area with moderate urban influence" "E"
1699300 "Main urban area" "A"
1720802 "Main urban area" "A"
2851500 "Highly rural/remote area" "G"
2027100 "Main urban area" "A"
2093803 "Main urban area" "A"
1700100 "Main urban area" "A"
1704700 "Main urban area" "A"
2779000 "Rural area with low urban influence" "F"
1703200 "Main urban area" "A"
1700000 "Main urban area" "A"
2851700 "Rural area with low urban influence" "F"
2206600 "Main urban area" "A"
1682114 "Main urban area" "A"
1720605 "Main urban area" "A"
2779200 "Rural area with moderate urban influence" "E"
2364000 "Main urban area" "A"
1720804 "Main urban area" "A"
1720000 "Main urban area" "A"
2772700 "Rural area with moderate urban influence" "E"
2363203 "Main urban area" "A"
1699000 "Main urban area" "A"
1703300 "Main urban area" "A"
2211100 "Main urban area" "A"
1693000 "Main urban area" "A"
1701400 "Main urban area" "A"
2208700 "Main urban area" "A"
2208800 "Main urban area" "A"
2010400 "Main urban area" "A"
2173600 "Main urban area" "A"
2089200 "Main urban area" "A"
2087300 "Main urban area" "A"
2208900 "Main urban area" "A"
1980900 "Main urban area" "A"
2824000 "Rural area with low urban influence" "F"
2771800 "Independent Urban Area" "B"
1671102 "Area outside urban/rural profile" "Z"
1721600 "Main urban area" "A"
1711800 "Main urban area" "A"
1785302 "Rural area with moderate urban influence" "E"
1703400 "Main urban area" "A"
2222400 "Rural area with low urban influence" "F"
1785301 "Satellite Urban Area" "C"
2208600 "Main urban area" "A"
1782200 "Satellite Urban Area" "C"
2175500 "Main urban area" "A"
1785402 "Satellite Urban Area" "C"
1782000 "Satellite Urban Area" "C"
1782100 "Satellite Urban Area" "C"
1782300 "Satellite Urban Area" "C"
1852900 "Rural area with low urban influence" "F"
1909200 "Main urban area" "A"
2349500 "Highly rural/remote area" "G"
2056608 "Main urban area" "A"
2267700 "Satellite Urban Area" "C"
2372600 "Independent Urban Area" "B"
2039600 "Main urban area" "A"
2039300 "Main urban area" "A"
1753700 "Independent Urban Area" "B"
2056906 "Main urban area" "A"
1753300 "Independent Urban Area" "B"
1910400 "Main urban area" "A"
1753400 "Independent Urban Area" "B"
1754400 "Independent Urban Area" "B"
1753600 "Independent Urban Area" "B"
1410300 "Rural area with moderate urban influence" "E"
1654900 "Highly rural/remote area" "G"
1753200 "Independent Urban Area" "B"
2072504 "Main urban area" "A"
2039500 "Main urban area" "A"
