"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","EASTING","NORTHING","NOTHING"
"ALISON ST","110","E","EDMUND ROAD","201003770","16/07/2010","Fri","2228","CAR1 WBD on ALISON ST lost control turning left, CAR1 hit Kerb, Post Or Pole","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, emotionally upset/road rage","Wet","Dark","Fine","Unknown","N/A","0","0","1","1881775","5774365",
"ALLPORT ROAD","500","E","SH 33","2903435","25/06/2009","Thu","0830","CAR1 WBD on ALLPORT ROAD lost control turning left, CAR1 hit Fence","CAR1 lost control due to road conditions  ENV: road slippery (frost or ice)","Ice/ Snow","Bright Sun","Fine","Unknown","N/A","0","1","0","1898449","5803801",
"ANDERSON ROAD","1100","N","OTUROA ROAD","201101503","21/02/2011","Mon","2227","CAR1 NBD on ANDERSON ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 too fast for conditions, lost control on unsealed road, inexperience","Dry","Dark","Fine","Unknown","N/A","0","1","0","1876386","5786448",
"ANGLE ROAD","70","S","MCLEAN ROAD","2803802","29/06/2008","Sun","0125","CAR1 NBD on ANGLE ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 too fast entering corner, lost control when turning, vehicle caught fire","Wet","Dark","Fine","Unknown","N/A","0","0","1","1942044","5790292",
"ANGLE ROAD","980","W","SH 30","2905534","27/11/2009","Fri","1547","CAR1 WBD on ANGLE ROAD hit rear of SUV2 turning right from centre line","CAR1 following too closely  SUV2 didn't signal in time when turning right  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","0","1","1942478","5789268",
"APIRANA ROAD","","I","RONGOMAI ROAD","201103273","13/07/2011","Wed","0120","CAR1 SBD on APIRANA ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control under heavy braking  ENV: road slippery (rain)","Wet","Dark","Light Rain","T Type Junction","Nil","0","0","2","1876502","5760520",
"APPENZELL DRIVE","","A","APPENZELL DRIVE","201004798","12/09/2010","Sun","1455","CAR1 NBD on APPENZELL DRIVE hit CAR2 turning right onto APPENZELL DRIVE from the left","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction","Wet","Overcast","Light Rain","T Type Junction","Nil","0","0","1","1951788","5790742",
"ARAHORI ST","70","W","TAUPAHI ROAD","201201918","24/03/2012","Sat","2050","CAR1 EBD on ARAHORI ST hit parked veh, CAR1 hit Parked Vehicle","CAR1 too far left/right, impared ability due to old age  ENV: heavy rain","Wet","Dark","Heavy Rain","Unknown","N/A","0","0","1","1843648","5680376",
"ARAPUNI ROAD","","I","COATES ROAD","2905591","05/12/2009","Sat","0352","CAR1 SBD on ARAPUNI ROAD lost control turning left, CAR1 hit Phone Box Etc., Post Or Pole","CAR1 alcohol suspected, too fast entering corner, lost control  ENV: heavy rain","Wet","Dark","Heavy Rain","T Type Junction","Nil","0","1","1","1832108","5782650",
"ARAPUNI ROAD","1600","W","HILDRETH ROAD","2903411","20/06/2009","Sat","0946","CAR1 EBD on ARAPUNI ROAD lost control turning right, CAR1 hit Tree on right hand bend ","CAR1 lost control due to road conditions  ENV: road slippery (frost or ice)","Ice/ Snow","Bright Sun","Fine","Unknown","N/A","0","1","0","1835710","5784628",
"ARAPUNI ROAD","540","E","HUIHUITAHA ROAD","2904530","25/06/2009","Thu","1320","CAR1 WBD on ARAPUNI ROAD lost control turning left, CAR1 hit Tree","CAR1 too fast entering corner, lost control due to road conditions","Ice/ Snow","Bright Sun","Fine","Unknown","N/A","0","0","1","1835706","5784627",
"ARAPUNI ROAD","120","N","PEARSON ROAD","201005277","13/11/2010","Sat","2304","CAR1 NBD on ARAPUNI ROAD lost control turning right, CAR1 hit Cliff Bank, Traffic Sign on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1838453","5784743",
"ARAPUNI ROAD","350","N","PEARSON ROAD","201205479","02/12/2012","Sun","1738","CAR1 SBD on ARAPUNI ROAD lost control turning right, CAR1 hit Fence on right hand bend ","CAR1 too far left/right, lost control while returning to seal from unsealed shoulder","Wet","Overcast","Light Rain","Unknown","Nil","0","0","1","1838518","5784954",
"ARAPUNI ROAD","600","N","PEARSON ROAD","2804749","25/10/2008","Sat","1730","CAR1 SBD on ARAPUNI ROAD lost control; went off road to left, CAR1 hit Vehicle","CAR1 too fast at temporary speed limit, lost control end of seal, failed to notice warning sign  ENV: road surface under construction or maintenance","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1838388","5785165",
"ARAPUNI ROAD","770","S","PEARSON ROAD","2903450","22/07/2009","Wed","2122","CAR1 WBD on ARAPUNI ROAD lost control turning right on right hand bend ","CAR1 alcohol test above limit or test refused, lost control when turning, driver over-reacted","Dry","Dark","Fine","Unknown","N/A","0","0","2","1839040","5784108",
"ARAPUNI ROAD","350","E","POKAIWHENUA BR","2801119","22/01/2008","Tue","1505","BUS1 EBD on ARAPUNI ROAD hit MOTOR CYCLE2 U-turning from same direction of travel","MOTOR CYCLE2 didnt see/look behind when changing lanes, position or direction  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1839045","5784105",
"ARAPUNI ROAD","550","W","SHINE ROAD","201103925","02/07/2011","Sat","0750","VAN1 EBD on ARAPUNI ROAD lost control turning left, VAN1 hit Ditch","VAN1 too far left/right, lost control while returning to seal from unsealed shoulder","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1836671","5784649",
"ARAPUNI ROAD","750","W","WALSALL RISE","201000040","15/03/2010","Mon","2257","CAR1 NBD on ARAPUNI ROAD lost control turning left, CAR1 hit Post Or Pole","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control","Dry","Dark","Fine","Unknown","Nil","1","0","0","1841783","5784165",
"ARAPUNI ROAD","900","E","WAOTU ROAD","201006114","03/12/2010","Fri","1000","CAR1 WBD on ARAPUNI ROAD lost control turning right, CAR1 hit Fence on right hand bend ","CAR1 too far left/right, lost control while returning to seal from unsealed shoulder, attention diverted, driver over-reacted","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1841895","5784172",
"ARAPUNI ROAD","1000","E","WAOTU ROAD","201104712","18/11/2011","Fri","1640","SUV1 EBD on ARAPUNI ROAD lost control turning right, SUV1 hit Fence, Traffic Sign on right hand bend ","SUV1 fatigue (drowsy, tired, fell asleep)","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1841992","5784195",
"ARAPUNI ROAD","1440","W","WAOTU ROAD","201104661","19/10/2011","Wed","1544","CAR1 WBD on ARAPUNI ROAD lost control turning right, CAR1 hit Fence on right hand bend ","CAR1 too far left/right, lost control when turning, attention diverted by other traffic, new driver showed inexperience  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1839656","5784021",
"ARAPUNI ST","15","W","GOLF ST","201201059","30/01/2012","Mon","0730","SUV1 EBD on ARAPUNI ST lost control; went off road to left, SUV1 hit Kerb, Traffic Sign, Tree","SUV1 fatigue due to working long hours before driving","Wet","Bright Sun","Fine","Unknown","N/A","0","1","0","1842695","5784216",
"ARAPUNI ST","40","E","GREY ST","2804355","30/08/2008","Sat","1205","SUV1 EBD on ARAPUNI ST lost control on curve and hit TRUCK2 head on","SUV1 illness with no warning (eg heart attack)","Dry","Overcast","Fine","Unknown","N/A","0","1","0","1843161","5784278",
"ARAPUNI ST","50","W","TEE ST","201102076","10/04/2011","Sun","0310","VAN1 EBD on ARAPUNI ST lost control turning right, VAN1 hit Fence, House Or Bldg on right hand bend ","VAN1 alcohol test above limit or test refused, drugs suspected, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Unknown","N/A","0","1","0","1842949","5784291",
"ARATIATIA ROAD","2050","E","RAKAUNUI ROAD","201002371","24/04/2010","Sat","0933","SUV1 NBD on ARATIATIA ROAD lost control turning right, SUV1 hit Cliff Bank on right hand bend ","SUV1 alcohol test above limit or test refused, interferred with driver","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1872083","5717598",
"ARATIATIA ROAD","100","S","VIEW ROAD","2903420","23/04/2009","Thu","1610","CAR1 NBD on ARATIATIA ROAD lost control turning left, CAR1 hit Fence","CAR1 alcohol suspected, too fast entering corner, lost control when turning","Dry","Bright Sun","Fine","Unknown","N/A","0","2","0","1873644","5720138",
"ARAWA AVENUE","400","N","NGAPARAOA DRIVE","201002211","28/03/2010","Sun","0200","VAN1 NBD on ARAWA AVENUE lost control; went off road to right, VAN1 went Over Bank, Fence","VAN1 alcohol suspected, fatigue (drowsy, tired, fell asleep), stolen vehicle","Dry","Dark","Fine","Unknown","N/A","0","1","0","1905261","5815690",
"ARAWA AVENUE","1030","E","WILSON ROAD NORTH","201201091","21/01/2012","Sat","0400","CAR1 SBD on ARAWA AVENUE lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 alcohol test above limit or test refused, lost control under heavy braking","Dry","Dark","Fine","Unknown","N/A","0","1","0","1905262","5814355",
"ARAWA CRESCENT","100","S","KAHU ST","2902009","15/02/2009","Sun","2315","CAR1 NBD on ARAWA CRESCENT lost control; went off road to right, CAR1 hit Kerb, Post Or Pole, Tree","CAR1 alcohol test above limit or test refused, too fast on straight, lost control","Dry","Dark","Fine","Unknown","N/A","0","0","3","1849826","5764162",
"ARAWA CRESCENT","200","S","KAHU ST","2800072","11/05/2008","Sun","1634","MOTOR CYCLE1 SBD on ARAWA CRESCENT lost control turning right, MOTOR CYCLE1 hit Tree on right hand bend ","MOTOR CYCLE1 alcohol test above limit or test refused, lost control when turning, fatigue (drowsy, tired, fell asleep)","Dry","Bright Sun","Fine","Unknown","Nil","1","0","0","1849836","5764064",
"ARAWA CRESCENT","","I","KOREKE PLACE","201003717","08/07/2010","Thu","2125","CAR1 SBD on ARAWA CRESCENT lost control; went off road to left, CAR1 hit Fence","CAR1 alcohol test above limit or test refused, too fast on straight, new driver showed inexperience","Dry","Dark","Fine","T Type Junction","Nil","0","0","1","1849921","5763502",
"ARAWA ROAD","100","S","AWATAPU DRIVE","2806348","20/11/2008","Thu","1940","CAR1 NBD on ARAWA ROAD lost control; went off road to left","CAR1 sudden action","Dry","Twilight","Fine","Unknown","Nil","0","0","1","1949190","5790040",
"ARAWA ROAD","100","W","LORD COBHAM AVENUE","201202251","03/04/2012","Tue","1510","MOPED1 WBD on ARAWA ROAD hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Overcast","Fine","Unknown","N/A","0","0","1","1949420","5789498",
"ARAWA ROAD","","I","VALLEY ROAD","2902728","02/04/2009","Thu","0945","CAR1 SBD on VALLEY ROAD lost control turning right, CAR1 hit Fence on right hand bend ","CAR1 alcohol suspected, too fast entering corner, lost control when turning","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","1","1","1950158","5789302",
"ARAWA ROAD","","I","VALLEY ROAD","2904580","03/10/2009","Sat","1526","MOTOR CYCLE1 SBD on ARAWA ROAD lost control turning right, MOTOR CYCLE1 hit Kerb, Traffic Sign on right hand bend ","MOTOR CYCLE1 too fast entering corner, lost control when turning, driving unfamiliar vehicle","Dry","Overcast","Fine","T Type Junction","Give Way Sign","0","0","1","1950158","5789302",
"ARAWA ST","150","W","FENTON ST","201004168","11/09/2010","Sat","2125","CYCLIST1 (Age 51)WBD on ARAWA ST changing lanes/overtaking to right hit CAR2 ","CYCLIST1 Intoxicated non-driver, didnt see/look behind when changing lanes, position or direction  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1885030","5774221",
"ARAWA ST","50","E","HEALE ST","2906199","31/12/2009","Thu","1130","MOTOR CYCLE1 WBD on ARAWA ST hit CAR2 turning right onto ARAWA ST from the left","MOTOR CYCLE1 alcohol test below limit  CAR2 failed to give way at driveway, didnt see/look when visibility obstructed by other vehicles  ENV: visibility limited by parked vehicle, entering or leaving service station","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1930494","5799916",
"ARAWA ST","5","E","RICHMOND ST","2803365","18/06/2008","Wed","0730","CAR1 WBD on ARAWA ST lost control; went off road to right, CAR1 hit House Or Bldg","CAR1 fatigue (drowsy, tired, fell asleep)","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","1","0","1929961","5800083",
"ARAWA ST","30","W","TUTANEKAI ST","201003746","13/07/2010","Tue","1547","CAR1 WBD on ARAWA ST while manoeuvring hit PEDESTRIAN crossing road","CAR1 didnt see/look behind when reversing/manoeuvering, didnt see/look when visibility limited by roadside features, blind spot  PEDESTRIAN2 crossing road, pedestrian behind reversing/manoeuvering vehicle  ENV: visibility limited by trees","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1884960","5774224",
"ARAWA ST","","I","TUTANEKAI ST","2803584","11/06/2008","Wed","1755","CAR1 EBD on ARAWA ST hit CAR2 merging from the right, CAR1 hit Tree","CAR2 failed to give way at stop sign, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","X Type Junction","Stop Sign","0","0","2","1884990","5774223",
"ARROWSMITH AVENUE","","I","CHESHAM AVENUE","2803844","08/05/2008","Thu","1335","CAR1 EBD on CHESHAM AVENUE turning right hit TRUCK2 turning right into CHESHAM AVENUE ","CAR1 failed to give way at give way sign, inattentive: failed to notice intersection or its stop/give way control, didnt see/look when required to give way to traffic from another direction","Dry","Overcast","Fine","X Type Junction","Give Way Sign","0","0","1","1869231","5710795",
"ARROWSMITH AVENUE","","I","SHEPHERD ROAD","2901232","08/01/2009","Thu","1925","CAR1 WBD on SHEPHERD ROAD hit CAR2 crossing at right angle from right","CAR1 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction, impared ability due to old age","Dry","Overcast","Fine","X Type Junction","Give Way Sign","0","1","1","1869302","5710895",
"ARTHUR ST","130","N","BRIDGE ST","2903449","18/07/2009","Sat","2305","CAR1 SBD on ARTHUR ST hit PEDESTRIAN crossing road from right side","CAR1 attention diverted by scenery or persons outside vehicle, emotionally upset/road rage, did not see or look for other party until too late  PEDESTRIAN2 pedestrian playing on road or unnecessarily on road","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1850354","5765927",
"ASCOT ROAD","10","W","ASCOT PLACE","2806068","31/12/2008","Wed","2041","CAR1 WBD on ASCOT ROAD hit PEDESTRIAN crossing road","PEDESTRIAN2 Intoxicated non-driver, crossing heedless of traffic","Dry","Dark","Fine","T Type Junction","Nil","0","1","0","1883504","5826275",
"ASHWORTH ST","150","N","GILES ST","2804722","19/09/2008","Fri","0800","CAR1 NBD on ASHWORTH ST lost control turning right, CAR1 hit Other on right hand bend ","CAR1 alcohol test below limit, attention diverted by driver dazzled by sun/lights  ENV: dazzling sun, entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","N/A","0","0","1","1851575","5766098",
"AWAHOU ROAD","500","S","CROSS ROAD","201200088","22/09/2012","Sat","","MOTOR CYCLE1 NBD on AWAHOU ROAD lost control turning right, MOTOR CYCLE1 hit Guard Rail, Water/River on right hand bend ","MOTOR CYCLE1 alcohol test above limit or test refused, lost control when turning, tyres, body or chassis","Dry","Dark","Fine","Unknown","Nil","1","0","0","1951530","5774909",
"AWATAPU DRIVE","","I","ARAWA ROAD","2804736","24/09/2008","Wed","0940","CAR1 EBD on AWATAPU DRIVE hit SUV2 crossing at right angle from right","CAR1 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","Roundabout","Give Way Sign","0","0","1","1949176","5790156",
"AWATAPU DRIVE","15","W","EDGEWATER GROVE","2905610","28/11/2009","Sat","0130","CAR1 EBD on AWATAPU DRIVE lost control; went off road to left, CAR1 hit Fence","CAR1 alcohol test above limit or test refused, too fast on straight, lost control, emotionally upset/road rage","Dry","Dark","Fine","Unknown","N/A","0","0","1","1948791","5790357",
"AWATAPU DRIVE","200","W","HINEMOA ST","2804118","01/08/2008","Fri","0130","CAR1 EBD on AWATAPU DRIVE lost control turning right, CAR1 hit Tree, Other on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Wet","Dark","Fine","Unknown","N/A","0","0","1","1949002","5790255",
"AWATAPU DRIVE","30","E","PAUL ST","2902354","23/04/2009","Thu","1035","CAR1 EBD on AWATAPU DRIVE lost control on curve and hit CAR2 head on","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1948726","5790400",
"AWATAPU DRIVE","100","W","PAUL ST","201002674","11/05/2010","Tue","0808","SCHOOL BUS1 WBD on AWATAPU DRIVE hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing road, running heedless of traffic","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1948597","5790392",
"AWATAPU DRIVE","300","S","RIVERSIDE DRIVE","201005041","05/10/2010","Tue","2213","CAR1 WBD on AWATAPU DRIVE lost control turning right, CAR1 hit Cliff Bank, Fence on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, inexperience","Dry","Dark","Fine","Unknown","Nil","0","0","3","1948083","5790583",
"AWATAPU DRIVE","","I","THOMPSON CRESCENT W","201201129","11/02/2012","Sat","1718","CAR1 EBD on AWATAPU DRIVE hit CYCLIST2 (Age 6)turning right onto AWATAPU DRIVE from the left","CYCLIST2 lost control, did not stop at stop sign","Dry","Overcast","Fine","T Type Junction","Stop Sign","0","0","1","1948222","5790559",
"AWATEA ROAD","2400","E","HIGH LEVEL ROAD","201205200","16/11/2012","Fri","2310","SUV1 EBD on AWATEA ROAD lost control turning right on right hand bend ","SUV1 alcohol test below limit, too fast for conditions, lost control on unsealed road, evading enforcement","Dry","Dark","Fine","Unknown","N/A","0","0","1","1886171","5701093",
"BAIRD ROAD","","I","BILLAH ST","201005684","16/11/2010","Tue","2040","CAR1 EBD on BAIRD ROAD lost control turning right, CAR1 hit Fence, Traffic Sign on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","1","1850023","5766412",
"BAIRD ROAD","1300","W","ELIZABETH DRIVE","2902010","25/02/2009","Wed","1533","VAN1 WBD on BAIRD ROAD hit rear of VAN2 turning right from left side","VAN2 turned right from left side of road, misjudged speed, etc of vehicle coming from behind or alongside  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","N/A","0","0","1","1848623","5765777",
"BAIRD ROAD","","I","KOWHAI PLACE","2805218","31/10/2008","Fri","1525","CYCLIST1 (Age 12)EBD on BAIRD ROAD hit VAN2 merging from the left","VAN2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Overcast","Fine","T Type Junction","Give Way Sign","0","0","1","1850111","5766452",
"BAIRD ROAD","","I","POHUTUKAWA DRIVE","2902715","09/04/2009","Thu","1905","CAR1 SBD on POHUTUKAWA DRIVE hit CYCLIST2 (Age 51)crossing at right angle from right","CAR1 failed to give way at stop sign, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","X Type Junction","Stop Sign","0","0","1","1850349","5766561",
"BALMORAL DRIVE","50","W","GRAMPIAN ST","201204887","02/11/2012","Fri","0330","VAN1 EBD on BALMORAL DRIVE hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing road, running heedless of traffic","Dry","Dark","Fine","Unknown","N/A","0","0","1","1851070","5764143",
"BARRETT ROAD","190","N","OLD HIGHWAY","201205251","23/11/2012","Fri","1745","CAR1 SBD on BARRETT ROAD lost control turning left, CAR1 hit Fence, Tree","CAR1 alcohol suspected, too fast entering corner, lost control when turning","Dry","Overcast","Fine","Unknown","N/A","0","1","0","1866539","5825076",
"BEACH ACCESS","100","N","ARAWA ST","201103795","04/09/2011","Sun","0030","CAR1 SBD on BEACH ACCESS lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 alcohol suspected, lost control when turning, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Unknown","N/A","0","0","1","1930775","5799927",
"BEACH ROAD","50","N","LITTLE WAIHI ROAD","2902738","28/04/2009","Tue","1230","CAR1 NBD on BEACH ROAD hit SUV2 turning right onto BEACH ROAD from the left","SUV2 failed to give way at driveway, didnt see/look when required to give way to traffic from another direction  ENV: entering or leaving other non-commercial","Wet","Overcast","Light Rain","Driveway","N/A","0","0","1","1904195","5815370",
"BEACH ROAD","30","E","WILLS ROAD","201102042","01/04/2011","Fri","0620","VAN1 EBD on BEACH ROAD lost control; went off road to left, VAN1 hit Ditch","VAN1 lost control, new driver showed inexperience  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","1","1","1858851","5839839",
"BEATTY AVENUE","70","S","MOUNTBATTEN PLACE","201003412","09/06/2010","Wed","0828","MOTOR CYCLE1 SBD on BEATTY AVENUE hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction, misjudged speed, etc of vehicle coming from behind or alongside","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1892315","5812574",
