"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"BLAKE ST","","I","ACHILLES ST","201021858","15/03/2010","Mon","1600","CAR1 SBD on BLAKE ST lost control while overtaking, CAR1 hit Post Or Pole","CAR1 alcohol test below limit, lost control under heavy braking, new driver showed inexperience, showing off racing, mixed treads/space saver tyre","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","3","0","1451374","5298185",
"BLIND RIVER LOOP ROAD","1620","E","SH 1S","2810080","08/12/2008","Mon","0750","CAR1 WBD on BLIND RIVER LOOP ROAD lost control on curve and hit VAN2 head on","CAR1 too fast entering corner, swung wide on bend, lost control avoiding another vehicle  ENV: road surface (potholed)","Dry","Bright Sun","Fine","Unknown","Nil","1","3","6","1691125","5385089",
"BOULDER BANK DRIVE","1600","N","SH 6 WAKAPUAKA ROAD","201213200","28/12/2012","Fri","0115","CAR1 NBD on BOULDER BANK DRIVE lost control turning right, CAR1 hit Guard Rail, Water/River on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning  ENV: road surface deep loose metal","Dry","Dark","Fine","Unknown","Nil","0","1","2","1627142","5438576",
"BRIGHT ST","80","N","BLACKETT ST","201022632","21/09/2010","Tue","2218","CAR1 entering/leaving driveway hit PEDESTRIAN walking on footpath","CAR1 emotionally upset/road rage, intentional collision  ENV: entering or leaving private house / farm","Wet","Dark","Light Rain","Driveway","Nil","0","1","0","1452580","5299889",
"BRIGHT ST","","I","PITT ST","2921649","14/04/2009","Tue","1800","VAN1 EBD on BRIGHT ST cutting corner hit CYCLIST2 (Age 9)head on","VAN1 cutting corner at intersection, new driver showed inexperience","Dry","Twilight","Fine","T Type Junction","Stop Sign","0","1","0","1452165","5300303",
"BROWN CREEK ROAD","1100","W","BROWN CRK BR","2820001","02/01/2008","Wed","0500","CAR1 SBD on BROWN CREEK ROAD hit PEDESTRIAN","PEDESTRIAN2 Intoxicated non-driver, pedestrian playing on road or unnecessarily on road, pedestrian wearing dark clothing  ENV: fog or mist","Dry","Dark","Mist","Unknown","N/A","1","0","0","1509745","5359592",
"BROWN CREEK ROAD","700","S","SH 6","201122045","25/06/2011","Sat","0330","CAR1 SBD on BROWN CREEK ROAD lost control turning left, CAR1 hit Fence","CAR1 alcohol test result unknown, too fast entering corner, lost control when turning","Wet","Dark","Mist","Unknown","N/A","0","1","1","1512667","5364791",
"BRYANT ROAD","600","N","SNOWDEN PLACE","201212851","20/10/2012","Sat","2000","MOTOR CYCLE1 NBD on BRYANT ROAD lost control turning right on right hand bend ","MOTOR CYCLE1 alcohol test above limit or test refused, too far left/right, failed to notice bend in road","Dry","Twilight","Fine","Unknown","Nil","0","1","0","1609393","5420239",
"BUDGE ST","30","E","HERBERT ST","201111005","05/01/2011","Wed","1620","CAR1 EBD on BUDGE ST hit parked veh, CAR1 hit Parked Vehicle","CAR1 alcohol test above limit or test refused, too fast on straight","Dry","Bright Sun","Fine","Unknown","Nil","0","1","3","1680099","5404935",
"CABLE STATION ROAD","500","E","RESERVE ROAD","2812142","05/06/2008","Thu","1650","CAR1 WBD on CABLE STATION ROAD cutting corner hit CAR2 head on","CAR1 alcohol test result unknown, too fast entering corner","Dry","Overcast","Fine","Unknown","Nil","0","1","1","1694845","5385276",
"CALEDONIAN ROAD","40","S","SH 67","2921466","17/01/2009","Sat","1050","TRUCK1 NBD on CALEDONIAN ROAD hit train, TRUCK1 hit Train","TRUCK1 inattentive  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","2","0","1487473","5376004",
"CAUTLEY ST","","I","HUNT ST","201213237","10/01/2012","Tue","1710","VAN1 WBD on CAUTLEY ST swinging wide hit CAR2 head on","VAN1 alcohol test above limit or test refused, swung wide at intersection","Dry","Overcast","Light Rain","T Type Junction","Give Way Sign","0","1","0","1615123","5423174",
"CENTRAL ROAD","300","S","WILSON ROAD","2810012","06/02/2008","Wed","2300","CAR1 NBD on CENTRAL ROAD lost control turning right, CAR1 hit Fence, Tree, Ditch on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control due to road conditions, casualty thrown from vehicle  ENV: road surface under construction or maintenance","Dry","Dark","Fine","Unknown","Nil","1","0","0","1598803","5438177",
"CHAMPION ROAD","100","W","KARETI DRIVE","2911121","20/01/2009","Tue","1945","VAN1 WBD on CHAMPION ROAD hit PEDESTRIAN crossing road from left side","VAN1 did not see or look for other party until too late  PEDESTRIAN2 crossing road, running heedless of traffic  ENV: dazzling sun, entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1617056","5424018",
"CHAYTORS ROAD","","I","BOTHAMS BEND ROAD","2812624","20/07/2008","Sun","2105","MOTOR CYCLE1 WBD on CHAYTORS ROAD missed inters or end of road, MOTOR CYCLE1 hit Traffic Sign","MOTOR CYCLE1 alcohol test above limit or test refused, inattentive: failed to notice intersection or its stop/give way control","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","1","0","1681532","5410758",
"COBDEN ST","50","E","DERBY ST","2922806","11/08/2009","Tue","0830","CAR1 WBD on COBDEN ST hit CYCLIST2 (Age 9)turning right onto COBDEN ST from the left","CAR1 didnt see/look when visibility limited by roadside features  CYCLIST2 failed to give way at driveway, inattentive  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1484020","5377249",
"COLLINGWOOD ST","","I","HALIFAX ST","201012119","03/06/2010","Thu","1540","CAR1 SBD on COLLINGWOOD ST hit rear end of CAR2 stop/slow for queue","CAR1 failed to notice car slowing, attention diverted by scenery or persons outside vehicle","Dry","Overcast","Fine","X Type Junction","Traffic Signal","0","1","0","1624043","5431134",
"COLLINGWOOD-BAINHAM MAIN","190","W","PAH ROAD SOUTH","201211660","04/05/2012","Fri","2030","CAR1 EBD on COLLINGWOOD-BAINHAM MAIN lost control; went off road to left, CAR1 hit Fence, Water/River","CAR1 lost control, illness with no warning (eg heart attack)","Dry","Dark","Fine","Unknown","Nil","0","1","0","1567559","5491169",
"COLLINGWOOD-BAINHAM MAIN","500","W","PAH ROAD SOUTH","201111649","21/04/2011","Thu","0500","SUV1 SBD on COLLINGWOOD-BAINHAM MAIN lost control turning left, SUV1 hit Cliff Bank","SUV1 alcohol test above limit or test refused, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Unknown","Nil","0","1","0","1567264","5491199",
"COLLINGWOOD-PUPONGA MAIN","2500","N","TOTARA AVENUE","201011079","24/01/2010","Sun","1720","VAN2 turning right hit by oncoming MOTOR CYCLE1 NBD on COLLINGWOOD-PUPONGA MAIN ","VAN2 failed to give way when turning to non-turning traffic  ENV: entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","Nil","0","2","0","1573599","5505829",
"COVENT DRIVE","50","S","WOODSTOCK CRESCENT","201111291","20/01/2011","Thu","1215","SUV1 SBD on COVENT DRIVE hit CYCLIST2 (Age 12)turning right onto COVENT DRIVE from the left","CYCLIST2 failed to give way entering roadway not from driveway or intersection, didnt see/look when visibility obstructed by other vehicles  ENV: visibility limited by parked vehicle","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1618648","5425234",
"CRADDOCK DRIVE","60","N","OROWAITI ROAD","201022986","13/11/2010","Sat","2030","CAR1 NBD on CRADDOCK DRIVE lost control turning right, CAR1 hit Tree on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Twilight","Fine","Unknown","N/A","0","4","2","1484578","5377308",
"CURTIS ST","","I","GREENFIELD ST","201220043","21/08/2012","Tue","1509","BUS1 WBD on GREENFIELD ST hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing road, running heedless of traffic, pedestrian unsupervised child","Dry","Overcast","Fine","X Type Junction","Nil","1","0","0","1506705","5393339",
"DILLONS POINT ROAD","","I","MEEHAN ST","2911340","14/02/2009","Sat","2325","SUV1 SBD on DILLONS POINT ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 Intoxicated non-driver, crossing heedless of traffic","Dry","Dark","Fine","T Type Junction","Nil","0","1","0","1680307","5404320",
"DOVEDALE ROAD","200","W","FURNESS ROAD","201013326","10/10/2010","Sun","1343","MOTOR CYCLE1 EBD on DOVEDALE ROAD swinging wide hit VAN2 head on","MOTOR CYCLE1 too fast entering corner, swung wide on bend","Dry","Overcast","Fine","Unknown","Nil","0","1","0","1586166","5431388",
"EDWARDS ROAD","830","W","MOUTERE HIGHWAY","201013543","27/12/2010","Mon","1609","MOTOR CYCLE1 WBD on EDWARDS ROAD lost control but did not leave the road, MOTOR CYCLE1 hit Fence","MOTOR CYCLE1 too fast on straight","Dry","Overcast","Fine","Unknown","Nil","0","1","0","1598717","5441883",
"EDWARDS ROAD","","I","WAIWHERO ROAD","201011422","12/03/2010","Fri","1951","CAR1 WBD on EDWARDS ROAD missed inters or end of road, CAR1 hit Cliff Bank, Ditch","CAR1 too fast on straight","Dry","Twilight","Fine","T Type Junction","Nil","0","1","0","1596903","5442041",
"ELLERTON VALHALLA ROAD","","A","VALHALLA STM BR","2922585","23/08/2009","Sun","0810","MOTOR CYCLE1 SBD on ELLERTON VALHALLA ROAD lost control turning left, MOTOR CYCLE1 went Over Bank","MOTOR CYCLE1 too fast entering corner, lost control when turning, new driver showed inexperience","Dry","Twilight","Fine","Unknown","N/A","0","2","0","1681938","5348720",
"ELLIS RIVER ROAD","150","N","BATON VALLEY ROAD","2813611","08/11/2008","Sat","1750","MOTOR CYCLE1 NBD on ELLIS RIVER ROAD lost control on straight","MOTOR CYCLE1 alcohol suspected, showing off wheelspins etc","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1575365","5426858",
"ESPLANADE","","I","AVOCA ST","2921549","09/02/2009","Mon","2035","CAR1 WBD on AVOCA ST lost control but did not leave the road, CAR1 hit Water/River","CAR1 alcohol test above limit or test refused, too far left/right, lost control","Wet","Dark","Heavy Rain","T Type Junction","Give Way Sign","0","1","0","1657602","5303958",
"FACTORY ROAD","15","S","BEACH ROAD","2922438","24/07/2009","Fri","1251","VAN1 NBD on FACTORY ROAD hit train, VAN1 hit Train","VAN1 did not stop at stop sign, attention diverted by cigarette etc","Dry","Overcast","Fine","Unknown","Stop Sign","0","1","1","1659488","5313029",
"FORKS-OKARITO ROAD","","A","CEMETERY CK","201020067","13/11/2010","Sat","1515","CAR1 NBD on FORKS-OKARITO ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 lost control when turning, overseas/migrant driver failed to adjust to NZ road rules and road conditions","Dry","Bright Sun","Fine","T Type Junction","Nil","1","0","0","1370918","5209849",
"FRANKLYN ST","250","S","WAIMEA ROAD","201211740","30/04/2012","Mon","1515","CYCLIST1 (Age 17)NBD on FRANKLYN ST hit CAR2 parking/unparking","CAR2 inattentive, didnt see/look behind when pulling out from parked position  ENV: entering or leaving car parking building / area","Dry","Overcast","Fine","Driveway","Nil","0","1","0","1623182","5429249",
"FRY ST","50","W","WILKIE ST","201212968","26/11/2012","Mon","2010","CYCLIST1 (Age 8)WBD on FRY ST hit child playing, CYCLIST1 hit Kerb","CYCLIST1 driving or riding on footpath, unsupervised cyclist","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1600473","5449459",
"GEORGE HARVEY ROAD","1000","W","OLD COACH ROAD","2811279","25/01/2008","Fri","1100","MOTOR CYCLE1 NBD on GEORGE HARVEY ROAD lost control turning left, MOTOR CYCLE1 hit Fence","MOTOR CYCLE1 too fast entering corner, failed to notice warning sign","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1603026","5432434",
"GLACIER ROAD","1200","S","SH 6","2821755","17/04/2008","Thu","1500","CAR1 NBD on GLACIER ROAD lost control turning right, CAR1 went Over Bank, Tree, Water/River on right hand bend ","CAR1 lost control when turning, new driver showed inexperience","Dry","Bright Sun","Fine","Unknown","N/A","0","1","2","1371491","5190540",
"GLACIER ROAD","1450","S","SH 6","201023154","08/12/2010","Wed","1545","CAR1 NBD on GLACIER ROAD lost control; went off road to right, CAR1 hit Tree","CAR1 attention diverted by cigarette etc","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1371456","5190294",
"GRAHAM ST","150","E","MAXWELL ROAD","2910007","25/01/2009","Sun","1330","CAR1 entering/leaving driveway hit PEDESTRIAN walking on footpath","CAR1 failed to give way at driveway, didnt see/look behind when reversing/manoeuvering  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","1","0","0","1679414","5402941",
"GRANGE ROAD","","I","PARSONS ROAD","2923519","31/12/2009","Thu","2045","CAR1 EBD on GRANGE ROAD cutting corner hit SUV2 head on","CAR1 cutting corner at intersection, new driver showed inexperience","Dry","Twilight","Fine","T Type Junction","Nil","0","1","0","1656733","5315455",
"GROVE ST","","I","COLLINGWOOD ST","201113264","31/12/2011","Sat","2205","CAR1 NBD on COLLINGWOOD ST hit MOPED2 crossing at right angle from right","CAR1 failed to give way at give way sign, attention diverted, didnt see/look when visibility limited by roadside features  MOPED2 cyclist or m/cyclist wearing dark clothing  ENV: street lighting inadequate","Dry","Dark","Fine","Roundabout","Give Way Sign","0","1","0","1624050","5431327",
"GROVE ST","","I","TASMAN ST","2812910","14/08/2008","Thu","1259","CAR1 NBD on TASMAN ST hit CAR2 crossing at right angle from right","CAR2 did not stop at stop sign","Dry","Overcast","Fine","X Type Junction","Stop Sign","0","1","0","1624438","5431313",
"HAAST JACKSON BAY ROAD","50","W","SH 6","201021236","05/02/2010","Fri","1200","TRUCK1 WBD on HAAST JACKSON BAY ROAD hit MOTOR CYCLE2 merging from the left","MOTOR CYCLE2 attention diverted by other traffic  ENV: entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1282092","5136136",
"HAMMERICHS ROAD","100","S","SH 62","201011431","14/03/2010","Sun","1145","MOTOR CYCLE1 NBD on HAMMERICHS ROAD lost control; went off road to right","MOTOR CYCLE1 alcohol test above limit or test refused, inexperience","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1675327","5408376",
"HARLEY ROAD","350","N","OLD COACH ROAD N","201212013","25/05/2012","Fri","2230","SUV1 NBD on HARLEY ROAD lost control turning left, SUV1 hit Fence","SUV1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, new driver showed inexperience","Dry","Dark","Fine","Unknown","Nil","0","1","0","1602430","5438895",
"HERBERT ST","","I","GRESSON ST","201121535","27/03/2011","Sun","0145","MOTOR CYCLE1 NBD on HERBERT ST lost control turning right on right hand bend ","MOTOR CYCLE1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","Roundabout","Give Way Sign","0","1","0","1452571","5298851",
"HIGH ST","80","N","BROADWAY","2813797","29/12/2008","Mon","1350","MOPED1 EBD on HIGH ST lost control turning left, MOPED1 hit Traffic Island","MOPED1 attention diverted by other traffic, misjudged size or position of fixed object or obstacle  ENV: entering or leaving service station","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1684296","5428311",
"HIGH ST","","I","HENRY ST","2811851","02/04/2008","Wed","1710","CYCLIST1 (Age 50)WBD on HIGH ST hit CAR2 crossing at right angle from right","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","X Type Junction","Give Way Sign","0","1","0","1679542","5403983",
"HUTCHESON ST","","I","AUCKLAND ST","201111416","03/03/2011","Thu","1506","CAR2 turning right hit by oncoming MOTOR CYCLE1 SBD on HUTCHESON ST ","MOTOR CYCLE1 didn't signal in time incorrect signal, inattentive  CAR2 misjudged intentions of another party","Dry","Bright Sun","Fine","T Type Junction","Nil","0","1","0","1679771","5404293",
"INKERMAN ST","100","N","HIGH ST","2913768","27/12/2009","Sun","2247","MOTOR CYCLE1 WBD on INKERMAN ST lost control turning, MOTOR CYCLE1 hit Other","MOTOR CYCLE1 alcohol test result unknown, showing off wheelspins etc","Dry","Dark","Fine","Unknown","Nil","0","1","0","1668764","5404537",
"INLAND KAIKOURA ROAD","430","W","BLUNTS ROAD","201222065","18/06/2012","Mon","1415","CAR1 EBD on INLAND KAIKOURA ROAD lost control; went off road to right, CAR1 hit Fence, Tree, Other","CAR1 fatigue (drowsy, tired, fell asleep)","Dry","Bright Sun","Fine","Unknown","N/A","0","4","0","1641316","5307468",
"INLAND KAIKOURA ROAD","","A","GREEN BURN BR","2820089","30/12/2008","Tue","1100","VAN1 EBD on INLAND KAIKOURA ROAD lost control turning right on right hand bend ","VAN1 lost control, illness with no warning (eg heart attack)","Dry","Bright Sun","Fine","Unknown","N/A","1","0","1","1633036","5306348",
"JACKSONS ROAD","","I","OLD RENWICK ROAD","201113204","20/12/2011","Tue","1353","CAR1 NBD on JACKSONS ROAD lost control; went off road to left, CAR1 hit Post Or Pole","CAR1 alcohol test result unknown, lost control","Dry","Overcast","Fine","X Type Junction","Stop Sign","0","1","0","1673241","5405184",
"KAITERITERI-SANDY BAY ROA","1500","E","SANDY BAY-MARAHAU ROAD","201111001","03/01/2011","Mon","1255","MOTOR CYCLE1 WBD on KAITERITERI-SANDY BAY ROA swinging wide hit CAR2 head on","MOTOR CYCLE1 too fast entering corner, swung wide on bend","Dry","Bright Sun","Fine","Unknown","Nil","0","1","1","1600318","5459051",
"KAITERITERI-SANDY BAY ROA","840","S","SANDY BAY-MARAHAU ROAD","201111299","15/02/2011","Tue","2000","CAR1 SBD on KAITERITERI-SANDY BAY ROA cutting corner hit CAR2 head on","CAR1 cutting corner on bend, attention diverted by passengers","Dry","Twilight","Fine","Unknown","Nil","0","1","0","1599760","5459218",
"KANIERE KOWHITIRANGI ROAD","400","S","KANIERE ROAD","201220034","22/06/2012","Fri","0058","CAR1 SBD on KANIERE KOWHITIRANGI ROAD lost control; went off road to left, CAR1 hit Post Or Pole","CAR1 alcohol test above limit or test refused, drugs suspected, lost control  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","1","1","0","1437166","5264891",
"KANIERE KOWHITIRANGI ROAD","6600","S","KANIERE ROAD","201022961","30/10/2010","Sat","1430","CAR1 NBD on KANIERE KOWHITIRANGI ROAD lost control turning right on right hand bend ","CAR1 lost control when turning","Dry","Bright Sun","Fine","Unknown","N/A","0","1","2","1439627","5259530",
